168129, 3904, 1312, 491, 89, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168168, 4139, 1330, 502, 89, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168208, 4186, 1463, 329, 89, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168247, 4505, 1753, 376, 89, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168287, 4600, 2687, 199, 89, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168326, 4551, 551, 1434, 89, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168366, 4079, 1124, 970, 89, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168405, 3557, 2154, 439, 89, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168445, 3296, 2599, 94, 89, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168483, 2230, 1870, -105, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168521, 1631, 2160, -1040, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168559, 1363, 1547, -1505, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168598, 1353, 466, -310, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168636, 1824, 303, 1151, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168674, 1699, 2133, 1336, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168713, 1519, 2344, 172, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168751, 2084, 2944, 1404, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168789, 2496, 2143, 2045, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168828, 4406, 1695, 3339, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168866, 3513, 2314, 1298, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168904, 2661, 925, 904, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168943, 5481, 4610, 810, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
168978, 4181, 1541, -37, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169014, 3884, 2527, -132, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169050, 4038, 3133, 359, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169086, 3104, 2294, 1685, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169122, 3018, 2770, 2645, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169158, 2795, 2830, 2849, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169194, 2174, 3072, 3744, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169230, 1358, 3982, 3429, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169266, 1980, 2888, 3102, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169302, 2994, 2059, 2558, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169338, 3862, 2207, 2222, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169374, 3749, 2225, 1740, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169410, 3490, 2380, 2428, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169449, 2974, 2871, 2681, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169489, 2533, 1396, 2705, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169529, 2456, 1802, 2663, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169569, 2197, 1484, 2485, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169609, 2035, 2162, 1979, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169649, 3597, 4040, 3854, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169688, 1378, 172, 2728, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169728, 2892, 2519, 1313, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169768, 3185, 1154, 1831, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169808, 3085, 1598, 1501, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169848, 2962, 1213, 1554, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169888, 2813, -63, 1780, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169928, 4098, 649, 2071, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
169968, 4471, 853, 1417, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170008, 4694, 1499, 352, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170048, 4579, 1093, 512, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170088, 6435, 810, -622, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170128, 10855, 2608, -909, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170168, 834, 1078, 1803, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
