243342, 4023, 846, -317, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243378, 4067, 807, -337, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243414, 4068, 784, -313, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243450, 4051, 794, -315, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243486, 4072, 707, -318, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243522, 4057, 784, -438, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243558, 4045, 844, -500, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243594, 4048, 760, -482, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243631, 4018, 726, -487, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243667, 3993, 641, -389, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243704, 4028, 624, -384, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243740, 4003, 652, -440, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243777, 3912, 566, -395, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243814, 3832, 505, -601, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243850, 3829, 540, -606, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243887, 3786, 701, -764, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243924, 3666, 482, -873, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243960, 3498, 445, -833, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
243997, 3423, 531, -526, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244034, 3497, 538, -453, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244074, 3465, 228, -318, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244115, 3817, 420, -304, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244155, 3499, 389, 64, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244196, 3445, 611, 212, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244236, 3625, 327, 59, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244277, 4130, 593, 876, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244317, 4474, 251, 468, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244358, 4057, 364, 27, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244398, 3890, 695, -50, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244439, 4050, 1067, 304, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244479, 4214, 962, 153, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244520, 4255, 901, 66, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244561, 4667, 1263, 180, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244602, 4156, 803, -18, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244643, 3944, 970, 114, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244683, 3400, 1356, 497, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244724, 3466, 2019, 465, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244765, 3544, 1996, 1012, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244806, 3151, 2203, 771, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244847, 3443, 3005, 1121, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244883, 3073, 2515, 1728, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244920, 2551, 2341, 1917, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244957, 2997, 2703, 1344, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
244993, 2764, 2470, 1048, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245030, 5161, 2036, 1660, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245067, 4883, 2906, 2130, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245104, 4070, 1806, 2039, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245140, 2938, 1561, 1628, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245177, 2772, 1573, 1133, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245214, 2814, 905, 1518, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245251, 2938, 1319, 3159, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245289, -1027, -284, 126, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245328, 4314, 342, 2135, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245367, 3396, 1737, 1561, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245406, 3095, 924, 1415, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245445, 2952, 1163, 514, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245483, 3740, 1591, 1004, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245522, 3614, 1096, 556, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245561, 3874, 339, 932, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245600, 4860, 711, 1460, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245639, 4452, 1094, 1546, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245676, 4385, 760, 1143, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245713, 4189, 702, 605, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245750, 3975, 660, 543, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245787, 3563, 474, -411, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245824, 2674, 181, -3414, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245862, 1497, 707, -9955, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245899, 4899, -1281, 3166, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245936, 7135, 545, 2609, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
245973, 3493, 2497, 543, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246010, 4094, 908, 625, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246048, 4024, 1412, 1839, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246086, 3980, 737, 1199, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246125, 3650, 1198, 1302, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246164, 3615, 954, 1826, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246202, 3673, 897, 1782, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246241, 3516, 1191, 1703, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
