90019, 3860, 1202, 1200, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90060, 3916, 1151, 1045, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90100, 4149, 1379, 1054, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90141, 4315, 1534, 1020, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90182, 4436, 1431, 903, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90223, 4162, 1767, 486, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90264, 4831, 1725, 2998, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90306, 4691, 3020, 786, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90349, 3236, 2451, 619, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90392, 1672, 1174, 474, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90435, 739, 864, 298, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90478, 907, 3289, -486, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90521, 451, 1867, 683, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90564, 1058, 1252, 1158, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90607, 976, 843, 1868, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90650, 1983, 1910, 2273, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90693, 1667, 2848, 2429, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90728, 1287, 1781, 1595, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90763, 2460, 1807, 2065, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90798, 3263, 2066, 2739, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90834, 3785, 2070, 2533, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90869, 4352, 2250, 2687, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90904, 4404, 1677, 2318, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90939, 3813, 2006, 2237, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
90975, 3561, 1926, 2281, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91010, 3944, 2110, 2066, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91045, 4324, 1836, 2198, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91081, 3998, 944, 2335, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91119, 3346, 1121, 2956, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91158, 3068, 888, 2945, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91196, 3465, 1323, 2621, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91235, 4177, 1175, 4677, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91274, 3440, -484, 5528, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91312, 2183, -942, 4947, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91351, 1655, 620, 3159, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91389, 1556, 1006, 2998, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91428, 1671, 1099, 2887, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91467, 2007, 1297, 2493, 69, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91503, 3535, 625, 2306, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91540, 3951, 1381, 2078, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91576, 3400, 1304, 1713, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91613, 3501, 1961, 1227, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91649, 3679, 1916, 467, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91686, 5930, 1959, -7402, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91722, 8429, 1920, 823, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91759, 5318, 86, 1983, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91795, 2285, 3629, 2109, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91832, 3391, 1364, 1914, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91869, 3469, 1627, 2110, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91908, 2778, 2027, 1980, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91947, 3040, 1893, 2266, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
91987, 2931, 1900, 2236, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92026, 2954, 1998, 2461, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92066, 2799, 2090, 2139, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92105, 2672, 2104, 2463, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92144, 2755, 1825, 2293, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92184, 2670, 2171, 2519, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92223, 2586, 2059, 2154, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92263, 2728, 2019, 2629, 71, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92303, 2623, 2109, 2555, 75, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92343, 2558, 2012, 2342, 75, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92383, 2667, 2097, 2456, 75, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92423, 2510, 2079, 2607, 75, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92464, 2331, 2058, 2563, 75, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92504, 2687, 1859, 2430, 75, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92544, 2802, 1963, 2464, 75, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92584, 2526, 2025, 2534, 75, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92624, 2646, 1957, 2592, 75, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92665, 2571, 2012, 2493, 75, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92701, 2611, 2053, 2426, 75, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92738, 2202, 2292, 2733, 75, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92775, 2373, 2061, 2386, 75, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
92812, 2835, 1777, 2222, 75, 456364a8-c8dd-4c49-b2eb-5fd13d3443e2, , transisi, transisi_iktidal_ke_sujud, , 
