306622, 3911, 607, -439, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
306660, 4027, 550, -220, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
306698, 4089, 409, -81, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
306737, 4067, 511, -279, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
306777, 3582, 558, -104, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
306817, 3695, 332, -17, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
306857, 4370, 508, 474, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
306898, 4756, 733, 739, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
306938, 4035, 1347, -40, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
306978, 4452, 667, 49, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307019, 4593, 1703, -347, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307059, 4764, 252, 171, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307099, 5000, -132, 784, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307140, 4961, -8, 898, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307179, 4686, 357, 341, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307218, 4377, 891, -942, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307258, 3658, 1799, -1534, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307297, 4005, 2007, -610, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307337, 2788, 897, -58, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307376, 3136, 1152, 1054, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307415, 3331, 1799, 903, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307455, 3225, 1477, 951, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307494, 3042, 1154, 522, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307534, 1817, 1264, -337, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307567, 1954, 237, 101, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307600, 1940, 116, 167, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307634, 2249, 360, 202, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307667, 3562, 504, 1387, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307700, 4908, 2840, 1691, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307734, 3841, 2939, -80, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307767, 3490, 1235, 35, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307800, 3055, 1997, -181, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307834, 3634, 2604, 1415, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307867, 3139, 2301, 578, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307901, 3518, 2037, 890, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307943, 3671, 1814, 1529, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
307985, 3466, 1324, 1988, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308028, 3996, 1405, 2667, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308070, 3750, 1821, 2099, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308113, 3614, 1704, 2075, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308155, 3936, 2700, 2280, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308197, 4184, 2971, 1767, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308240, 3851, 3015, 1994, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308282, 3976, 3759, 2534, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308325, 2859, 2904, 2473, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308362, 2375, 1709, 2091, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308399, 3042, 998, 2729, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308436, 2384, 576, 1320, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308473, 2595, 1480, 1173, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308510, 3019, 1728, 1275, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308548, 3224, 1457, 903, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308585, 2725, 1157, 531, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308622, 3476, 1404, 263, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308659, 3634, 2228, 318, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308696, 3183, 2371, 264, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308734, 3403, 2113, 1044, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308773, 4061, 932, 1648, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308813, 3371, 796, 1583, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308853, 3362, 774, 1953, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308893, 4594, 648, 2272, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308933, 4847, 891, 2925, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
308973, 4490, 1013, 2203, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
