81767, 3739, 1199, 33, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
81804, 3605, 1793, 50, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
81842, 3970, 1556, 295, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
81879, 4415, 1524, -126, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
81917, 4529, 1417, -197, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
81957, 4293, 1096, -85, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
81997, 3950, 766, -1, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82037, 4027, 851, 111, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82077, 4226, 975, 57, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82117, 4796, 851, 454, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82157, 4781, 756, -571, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82197, 3743, 1653, -1066, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82237, 4221, 1303, -801, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82277, 2492, 1710, -1269, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82317, 2508, 1602, -430, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82357, 1943, 1233, -5, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82397, 1592, 2062, -1036, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82438, 1560, 1801, -1472, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82478, 1827, 1379, -1231, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82519, 2479, 553, -73, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82559, 3267, 651, 1224, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82599, 4129, 1003, 1062, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82640, 5204, 3385, -235, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82680, 3701, 1806, -1579, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82721, 3202, 2686, -1414, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82758, 3303, 2377, -91, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82796, 3393, 3207, -531, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82833, 2835, 1915, -717, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82871, 3419, 2983, 57, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82909, 3330, 2817, 651, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82946, 3709, 3452, 1348, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
82984, 3035, 2965, 1262, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83022, 2765, 3437, 1346, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83059, 2648, 2444, 1759, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83097, 2349, 1093, 2430, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83135, 3257, 4579, 1176, 74, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83173, 3694, 5762, 530, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83211, 3061, 4098, 210, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83249, 1968, 2958, 1443, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83288, 1752, 2184, 2362, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83326, 2623, 2039, 1642, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83364, 2686, 1572, 1110, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83403, 3069, 1622, 1170, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83441, 2659, 1479, 847, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83479, 2601, 1359, 1087, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83518, 3162, 135, 1371, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83554, 3193, 602, 2101, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83591, 3850, 941, 2185, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83627, 4397, 1334, 2050, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83664, 4712, 968, 1887, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83701, 4304, 855, 1701, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83737, 4336, 1175, 1606, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83774, 4462, 1044, 1399, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83811, 6245, 3574, -638, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83847, 2552, -2252, 3901, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83884, 3872, 657, 3169, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83921, 3687, 947, 2671, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
83960, 3255, 932, 1839, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84000, 3550, 1164, 2257, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84040, 3426, 1173, 2127, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84080, 3496, 1100, 2261, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84120, 3017, 1211, 2413, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84159, 3364, 1079, 2644, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84199, 3010, 945, 2494, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84239, 2891, 1308, 2779, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84279, 3151, 1012, 2631, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84319, 2867, 1435, 2843, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84358, 2759, 1678, 2464, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84398, 3016, 1047, 2660, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84438, 2604, 1293, 3023, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84477, 2655, 1266, 2904, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84517, 2675, 793, 2981, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84557, 2598, 1213, 2974, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84596, 2538, 1291, 2990, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84636, 2526, 1092, 3049, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84676, 2424, 1233, 3166, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84716, 2497, 1245, 3092, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84760, 2651, 1233, 3074, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84804, 2437, 1150, 3182, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84848, 2621, 1193, 3067, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84893, 2510, 1115, 3074, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84937, 2627, 1202, 2978, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
84981, 2700, 1181, 2923, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
85025, 2686, 1186, 2932, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
85070, 2627, 1252, 2974, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
85114, 2615, 1164, 3019, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
85158, 2606, 1179, 3025, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
85203, 2615, 1173, 3057, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
85234, 2635, 1174, 3019, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
85266, 2649, 1137, 3014, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
85298, 2672, 1174, 2942, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
85329, 2710, 1161, 2951, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
85361, 2685, 1216, 2899, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
85393, 2736, 1205, 2893, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
85424, 2741, 1163, 2881, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
85456, 2723, 1091, 2912, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
85488, 2778, 1120, 2892, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
85520, 2744, 1084, 2892, 75, 787a2158-4023-4631-a94c-9b6bd35d1ab6, , transisi, transisi_iktidal_ke_sujud, , 
