95550, 4187, 1967, 447, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
95593, 3863, 1282, 465, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
95637, 3535, 1468, 456, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
95681, 3122, 1479, 385, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
95725, 2812, 1617, 409, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
95756, 2450, 1507, 541, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
95787, 2310, 1289, 638, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
95818, 2079, 1047, 411, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
95849, 2106, 1113, 359, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
95880, 2224, 1620, 516, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
95912, 2481, 1680, 817, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
95943, 2590, 1311, 811, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
95974, 3394, 2427, 1163, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96005, 3497, 1480, 2907, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96036, 3388, 2241, 2056, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96068, 4241, 2447, 2554, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96108, 3267, 1718, 1510, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96149, 3974, 2230, 1824, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96189, 3699, 2136, 1208, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96230, 3777, 2132, 1435, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96271, 3794, 2387, 1209, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96311, 3881, 2882, 1251, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96352, 3274, 1860, 2056, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96392, 3318, 2171, 1935, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96433, 4074, 2251, 3197, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96474, 4492, 2242, 3957, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96515, 3681, 3128, 3460, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96556, 2879, 1245, 2419, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96597, 2429, 1536, 2484, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96639, 1877, 1902, 1883, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96680, 2163, 1818, 2390, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96721, 973, 1551, -11, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96763, 3166, 1839, 2826, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96804, 2312, 1753, 1355, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96845, 3063, 970, 1782, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96887, 2281, 1529, 1981, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96923, 4390, 1547, 1617, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96959, 4667, 1267, 821, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
96995, 3529, 1080, 172, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97031, 3971, 880, -837, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97067, 6918, 1593, -2753, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97104, 7730, 584, 5873, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97140, 2707, -1732, 2115, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97176, 4758, 2461, 843, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97212, 3557, 1568, 1234, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97248, 3919, 1893, 1379, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97285, 3623, 1434, 1900, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97328, 3442, 1850, 1838, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97371, 3076, 2059, 1592, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97415, 3254, 1970, 1930, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97458, 3137, 2081, 1846, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97502, 2995, 2058, 1971, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97545, 2972, 2189, 1689, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97588, 3285, 2033, 2029, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97632, 2995, 2199, 1795, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97675, 3073, 2084, 1761, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97719, 3159, 2149, 1750, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97752, 3180, 2175, 1759, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97785, 3123, 2118, 1604, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97818, 3218, 2028, 1729, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97851, 3283, 2030, 1442, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97884, 3245, 1926, 1840, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97917, 3261, 2305, 1530, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97950, 3082, 2317, 1547, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
97983, 3427, 1925, 1514, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
98016, 3086, 2379, 1396, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
98049, 3268, 2042, 1610, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
98083, 3186, 2170, 1603, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
98121, 3251, 2061, 1618, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
98159, 3293, 1969, 1566, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
98198, 3328, 1984, 1514, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
98236, 3054, 1883, 1352, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
98275, 3132, 1897, 1397, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
98313, 3266, 1875, 1507, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
98351, 3319, 2021, 1352, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
98390, 3412, 2027, 1209, 75, 8daaf826-1e55-4de7-a2b2-d2b40bfde97d, , transisi, transisi_iktidal_ke_sujud, , 
