115134, 4180, 76, -257, 93, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115174, 4216, 301, -136, 93, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115214, 4082, 75, -352, 93, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115254, 4020, 52, -540, 93, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115294, 3805, 177, -535, 93, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115334, 3444, 46, -558, 93, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115374, 3278, -208, -452, 93, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115414, 3179, -149, -411, 93, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115454, 3277, 31, -756, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115494, 3908, 810, -932, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115535, 4031, 117, -508, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115575, 3720, -740, 171, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115616, 3711, -284, 579, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115656, 3986, 354, 200, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115696, 3615, 200, 335, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115737, 3642, 371, 372, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115777, 3655, -297, 518, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115818, 4472, -790, 1472, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115854, 4409, 196, 1014, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
