244322, 3110, 1808, -1719, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244364, 3088, 1858, -1658, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244406, 2924, 1589, -1876, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244448, 3040, 1479, -1881, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244481, 3035, 1420, -1865, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244514, 2932, 1425, -1864, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244547, 3055, 1329, -1914, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244580, 3082, 1242, -1947, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244613, 2655, 1155, -1831, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244646, 2522, 1185, -1728, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244679, 2425, 1086, -1483, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244712, 2321, 975, -1446, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244745, 2481, 994, -1551, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244778, 2287, 1101, -1435, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244811, 2448, 1185, -1589, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244849, 2716, 1229, -1469, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244888, 3051, 1348, -1400, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244927, 3461, 1368, -1391, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
244966, 3642, 1468, -1577, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245005, 3791, 1574, -1691, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245043, 4273, 1709, -1593, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245082, 4330, 2117, -1724, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245121, 4312, 1845, -1835, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245160, 4699, 1676, -1465, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245199, 4756, 1894, -1180, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245236, 4611, 2074, -1360, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245273, 4498, 2095, -786, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245311, 3965, 2243, -248, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245348, 3707, 2213, 108, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245385, 3677, 2466, 460, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245423, 3487, 2796, 169, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245460, 3666, 2089, 668, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245497, 3530, 2418, 387, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245535, 3301, 2259, 508, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245572, 3455, 2103, 450, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245610, 3312, 2280, 382, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245650, 3190, 2028, 755, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245690, 3255, 2005, 898, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245730, 3658, 2244, 693, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245770, 3352, 1745, 1015, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245810, 4388, 3380, 1274, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245850, 5021, 2908, 1512, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245890, 4489, 1117, 6288, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245930, 6160, -1015, 1597, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
245970, 2999, 890, 3068, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246010, 2732, 2825, 1939, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246051, 2901, 1903, 2207, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246093, 3182, 1058, 2537, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246135, 2987, 1745, 2349, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246177, 3017, 1779, 2283, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246219, 3127, 1632, 2283, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246261, 3155, 1489, 2185, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246303, 3148, 1656, 2199, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246345, 2959, 2321, 2132, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246387, 3260, 1278, 2096, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246429, 2925, 2167, 2155, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246463, 3433, 903, 2329, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246498, 3126, 1655, 2488, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246532, 2686, 1532, 2362, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246567, 3031, 1223, 2533, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246602, 2976, 1431, 2601, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246636, 2991, 954, 2467, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246671, 2786, 1535, 2756, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246706, 2876, 1182, 2612, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246740, 2987, 1114, 2728, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246775, 2950, 1323, 2711, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246810, 2861, 1309, 2669, 103, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246852, 2966, 1161, 2713, 104, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246894, 2890, 1297, 2674, 104, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246937, 2949, 1216, 2703, 104, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
246979, 2941, 1143, 2642, 104, 93331714-cf77-49d7-8ba4-1ebf9d27f09e, , transisi, transisi_iktidal_ke_sujud, , 
