218622, 3782, 2091, 818, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
218664, 3707, 1933, 626, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
218706, 3686, 1442, 1122, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
218748, 3723, 1711, 1209, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
218790, 3854, 2011, 863, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
218823, 3951, 2495, 1370, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
218856, 4146, 1702, 2068, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
218889, 4106, 1718, 2293, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
218922, 4311, 1016, 1951, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
218955, 4018, 3554, 2088, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
218988, 2518, 3390, -444, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219021, 683, 1978, -1847, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219054, 696, -1005, -97, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219087, 969, 2982, 720, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219120, 1737, 2668, 968, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219154, 1592, 776, 769, 96, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219199, 1353, 617, 658, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219244, 1351, 1175, 1354, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219289, 1981, 1920, 1058, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219334, 2504, 1598, 1890, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219379, 3991, 3368, 2129, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219424, 4071, 3347, 2844, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219469, 3127, 1439, 1642, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219514, 4041, 3275, 3120, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219559, 3557, 2167, 1622, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219604, 3555, 2793, 1885, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
219638, 3191, 2795, 1847, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
