105668, 3950, 1295, 37, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
105705, 4046, 1125, 61, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
105742, 4193, 2553, -1403, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
105779, 4060, 1961, -323, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
105816, 3764, 3135, -474, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
105854, 3678, 1294, 870, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
105895, 3420, 1453, 548, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
105937, 3546, 1853, 298, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
105979, 3582, 1250, 219, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106020, 3666, 1527, 207, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106062, 3749, 1776, 366, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106104, 3800, 1139, 606, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106145, 3673, 1358, 856, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106187, 3841, 1844, 883, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106229, 3995, 1758, 959, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106271, 4498, 2017, 933, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106310, 4712, 2762, 1282, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106349, 4934, 3331, 926, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106388, 3677, 2597, 566, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106427, 2631, 1213, 619, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106466, 1402, 856, 320, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106505, 1197, 837, 11, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106544, 1377, 1550, 466, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106583, 1525, 1578, 285, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106622, 1625, 939, 233, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106661, 1641, 1519, 679, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106698, 1699, 1212, 887, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106735, 2482, 2910, 720, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106772, 2945, 1812, 1742, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106809, 3631, 503, 3781, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106846, 4075, 3356, 3914, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106883, 3664, 1912, 2045, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106920, 3735, 1537, 2332, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106957, 4092, 1928, 3106, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
106994, 3881, 2014, 2150, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107031, 3897, 1265, 2083, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107069, 4098, 3337, 3135, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107107, 3400, 2223, 1233, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107146, 4073, 2170, 1920, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107184, 4065, 1980, 1614, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107223, 4233, 2565, 2054, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107262, 3436, 1877, 1980, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107300, 3105, 790, 1413, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107339, 3858, 347, 1298, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107377, 4129, 1076, 2489, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107416, 3657, 1228, 4437, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107455, 2976, 1900, 5307, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107490, 2079, 2015, 4085, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107525, 1096, 1444, 3826, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107561, 975, 1584, 2589, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107596, 1416, 1035, 1548, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107632, 4541, 7764, 7928, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107667, -396, -1660, 3073, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107703, 2436, 1195, 2495, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107738, 2870, 970, 1986, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107774, 3554, -1026, 1761, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107809, 4350, 126, 1775, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107845, 4341, 1187, 1822, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107887, 6438, 2029, -672, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107930, 4905, 1256, 1578, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
107973, 4298, 921, 1109, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108016, 3898, 1435, -135, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108059, 8559, 3120, 1664, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108101, 5021, 1474, 426, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108144, 2849, 1751, 1989, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108187, 3823, 1463, 1940, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108230, 2872, 1811, 1935, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108273, 3084, 2161, 2112, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108311, 2844, 2285, 1953, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108349, 3038, 1837, 2147, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108387, 2887, 2054, 2143, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108426, 2896, 1859, 2195, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108464, 2833, 1883, 2303, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108502, 2726, 2196, 2452, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108541, 2870, 2082, 2266, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108579, 2706, 1999, 2219, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108617, 2582, 2280, 2190, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108656, 2909, 2299, 2154, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108691, 2697, 2358, 2109, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
