212786, 3898, 1425, 837, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
212825, 4068, 1811, 1272, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
212864, 4137, 1580, 1167, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
212902, 4235, 1473, 1265, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
212941, 4216, 1946, 1141, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
212980, 4145, 1374, 931, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213019, 4483, 1472, 1401, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213058, 5222, 2307, 1464, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213097, 5084, 2457, 1184, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213136, 3200, 2656, 233, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213176, 1058, 528, -844, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213215, 451, -1559, 1269, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213255, 830, 1018, 421, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213294, 766, 1122, 167, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213333, 1529, 1468, 579, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213373, 1153, 1694, 1501, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213412, 1869, 296, 1390, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213452, 2582, 1366, 1370, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213488, 2633, 2577, 1840, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213524, 4230, 460, 4246, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213561, 4005, 1242, 4567, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213597, 3537, 1182, 1566, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213634, 4801, 2952, 2249, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213670, 4886, 3134, 3453, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213707, 4193, 2428, 1265, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213743, 3780, 3047, 1665, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213780, 3620, 2959, 1536, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213816, 3417, 2717, 1310, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213853, 3104, 1463, 2125, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213894, 3802, 2148, 2400, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213936, 3468, 1045, 2326, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
213978, 3921, 3306, 1340, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214019, 4823, 3581, 1827, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214061, 4113, 2065, 1811, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214103, 3482, 1445, 2732, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214144, 2775, 1347, 3649, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214186, 2477, 798, 3650, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214228, 2158, 1059, 3903, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214270, 1859, 1109, 3740, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214305, 2201, 1352, 2657, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214341, 3760, 3507, 4913, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214376, 1589, -1696, 599, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214412, 2211, 1438, 2189, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214447, 2469, 1861, 1812, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214483, 2825, 1389, 2117, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214518, 2871, 1101, 1699, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214554, 2945, 802, 1693, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214589, 3053, 385, 612, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214625, 4421, 574, 2829, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
