158644, 3106, 2402, -493, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
158678, 2596, 2482, -595, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
158713, 2340, 1976, -1121, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
158753, 2085, 1658, -1080, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
158794, 2237, 906, -1108, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
158834, 2802, 870, -963, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
158875, 3818, -528, 880, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
158916, 3135, 1644, 460, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
158956, 3168, 3999, 270, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
158997, 3225, 2473, -182, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159037, 3235, 2042, 4, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159078, 3166, 2011, -75, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159119, 4036, 1511, 992, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159160, 4462, 1979, 1314, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159202, 4392, 2712, 480, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159244, 3942, 1631, 757, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159285, 3277, 3822, 602, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159327, 3682, 4218, 177, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159369, 2935, 1701, -564, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159410, 3355, 2375, 1342, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159452, 3556, 1687, 1328, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159494, 3563, 2858, 1374, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159536, 3268, 2467, 1291, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159570, 2611, 2177, 1408, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159604, 2505, 2555, 1243, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159638, 3370, 1932, 1803, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159673, 4418, 2503, 2934, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159707, 4114, 2799, 2877, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159741, 3255, 2133, 2857, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
