279618, 3890, -1314, 991, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
279653, 3335, -159, 501, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
279688, 3335, -222, 309, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
279724, 3538, -836, 395, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
279759, 3299, -194, 287, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
279795, 4126, -52, 107, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
279830, 5144, -118, 537, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
279866, 5353, 2238, -814, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
279901, 4306, 1586, 349, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
279937, 2609, -294, 1745, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
279972, 1462, -176, 920, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280008, 1906, 335, 2709, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280051, 2560, 1445, 1626, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280095, 3004, 1198, 2335, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280138, 3078, 21, 2213, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280182, 3427, 436, 3068, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280225, 2920, 749, 2221, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280269, 3150, 752, 3070, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280312, 3668, 2092, 3196, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
