243719, 3712, 1001, -219, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
243754, 3641, 795, -83, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
243790, 3719, 661, -190, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
243826, 3609, 1006, -344, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
243862, 3595, 1227, -435, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
243898, 3469, 1480, -577, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
243934, 3555, 1126, -913, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
243974, 4700, 1156, -1468, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244014, 5003, 1424, -799, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244054, 5036, 1841, 331, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244094, 4235, 612, 125, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244135, 3986, 328, -373, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244175, 4238, -503, -210, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244215, 4838, 267, -509, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244255, 5819, 780, 90, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244295, 4754, 1175, -116, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244336, 5694, -50, -345, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244372, 3111, 1002, -2668, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244408, 2933, 429, 83, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244444, 2540, 1539, 626, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
