146844, 3229, 1698, -287, 77, d8713fb9-2a98-4b29-a5b1-b2c0732a2942, , transisi, transisi_iktidal_ke_sujud, , 
146882, 3088, 1664, -565, 77, d8713fb9-2a98-4b29-a5b1-b2c0732a2942, , transisi, transisi_iktidal_ke_sujud, , 
146921, 2510, 1418, -918, 77, d8713fb9-2a98-4b29-a5b1-b2c0732a2942, , transisi, transisi_iktidal_ke_sujud, , 
146960, 2395, -150, 17, 77, d8713fb9-2a98-4b29-a5b1-b2c0732a2942, , transisi, transisi_iktidal_ke_sujud, , 
146999, 1949, 701, -755, 77, d8713fb9-2a98-4b29-a5b1-b2c0732a2942, , transisi, transisi_iktidal_ke_sujud, , 
147038, 2126, 352, -106, 77, d8713fb9-2a98-4b29-a5b1-b2c0732a2942, , transisi, transisi_iktidal_ke_sujud, , 
147076, 2826, 1027, 543, 77, d8713fb9-2a98-4b29-a5b1-b2c0732a2942, , transisi, transisi_iktidal_ke_sujud, , 
147115, 2995, 1435, -144, 77, d8713fb9-2a98-4b29-a5b1-b2c0732a2942, , transisi, transisi_iktidal_ke_sujud, , 
147154, 3260, 1668, 1016, 77, d8713fb9-2a98-4b29-a5b1-b2c0732a2942, , transisi, transisi_iktidal_ke_sujud, , 
147193, 4115, 1660, 1224, 77, d8713fb9-2a98-4b29-a5b1-b2c0732a2942, , transisi, transisi_iktidal_ke_sujud, , 
147232, 4053, 840, 970, 77, d8713fb9-2a98-4b29-a5b1-b2c0732a2942, , transisi, transisi_iktidal_ke_sujud, , 
147269, 4559, 1522, 994, 77, d8713fb9-2a98-4b29-a5b1-b2c0732a2942, , transisi, transisi_iktidal_ke_sujud, , 
147307, 5149, 1984, 1323, 77, d8713fb9-2a98-4b29-a5b1-b2c0732a2942, , transisi, transisi_iktidal_ke_sujud, , 
147344, 5249, 2013, 1210, 77, d8713fb9-2a98-4b29-a5b1-b2c0732a2942, , transisi, transisi_iktidal_ke_sujud, , 
147382, 4398, 2728, 170, 77, d8713fb9-2a98-4b29-a5b1-b2c0732a2942, , transisi, transisi_iktidal_ke_sujud, , 
