64766, 3496, 2360, -139, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
64799, 3121, 1600, 78, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
64832, 3085, 1622, -107, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
64871, 2783, 1638, -82, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
64910, 2408, 1315, 394, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
64949, 2251, 1250, 569, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
64988, 2511, 1212, 690, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65028, 3293, 1102, 769, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65067, 3182, 830, 1042, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65106, 3056, 789, 1670, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65145, 3498, 714, 1532, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65184, 4034, 1820, 1239, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65224, 4308, 463, 1644, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65266, 4102, 1284, 1072, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65308, 4597, 2158, 782, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65350, 4825, 1872, 1163, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65393, 4604, 1426, 718, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65435, 4182, 1032, 420, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65477, 3869, 2056, 1025, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65520, 3480, 1826, 1333, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65562, 2857, 2178, 2139, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65604, 2246, 1324, 2413, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65647, 2123, 2693, 2844, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65682, 2824, 2461, 2252, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65717, 3047, 2886, 2089, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65752, 4863, 432, 2683, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65787, 4851, 1186, 2482, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65822, 3949, 1453, 3180, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65857, 2830, 805, 4041, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65892, 2136, 125, 3829, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65927, 1841, 1229, 3246, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65962, 4224, 6443, 5197, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
65997, 1192, -496, 2637, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66032, 2285, 1561, 1990, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66071, 2768, 2277, 2134, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66110, 2882, 589, 2111, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66149, 2385, 398, 1216, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66189, 4516, 1215, 1210, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66228, 3860, 1754, 356, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66267, 6387, 1939, 3620, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66307, 8936, 2430, 2657, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66346, 2327, -1598, -802, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66385, 3727, 248, 27, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66425, 3362, 2326, 1336, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66463, 2364, 2594, 1073, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66501, 2978, 2097, 2126, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66539, 2550, 2859, 1877, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66577, 2624, 2237, 2430, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66615, 2210, 2554, 2247, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66653, 2209, 2660, 2189, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66691, 2298, 2964, 2076, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66729, 2275, 2852, 2106, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66767, 2292, 2782, 2083, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66805, 2369, 2678, 2122, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66843, 2300, 2842, 1970, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66884, 2430, 2711, 1967, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66926, 2453, 2717, 1938, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
66968, 2530, 2694, 1884, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
67010, 2521, 2728, 1830, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
67052, 2642, 2616, 1795, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
67093, 2645, 2633, 1728, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
67135, 2688, 2621, 1695, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
67177, 2727, 2635, 1632, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
67219, 2720, 2705, 1529, 49, e5711404-351c-426f-a69b-e80f607e5167, , transisi, transisi_iktidal_ke_sujud, , 
