32679, 642, 4043, 532, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
32720, 615, 3967, 701, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
32761, 697, 3766, 785, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
32802, 1809, 3856, 802, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
32845, 1355, 3941, 380, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
32889, -777, 3482, 66, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
32933, 1558, 3365, 1728, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
32977, 1115, 2702, 1820, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33021, 983, 398, 1885, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33064, 1370, 2781, 477, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33108, 1753, 1810, 1184, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33152, 3683, 3141, 1137, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33196, 3850, 3173, 753, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33240, 4457, 2615, 975, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33272, 4386, 3491, 1148, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33304, 4514, 2604, 678, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33336, 4203, 2917, 390, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33368, 4307, 2165, 982, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33400, 4127, 2335, 943, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33433, 4068, 2620, 580, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33465, 4222, 2567, 1301, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33497, 3862, 836, 2803, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33529, 3431, 2255, 1961, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33561, 4319, 1353, 1525, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33594, 3648, 1149, 692, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
