152119, -2718, 1706, -2453, 81, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152153, -2742, 1661, -2414, 81, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152186, -2716, 1652, -2318, 81, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152220, -2640, 1618, -2167, 81, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152254, -2587, 1593, -1817, 81, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152288, -2400, 1502, -1489, 81, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152321, -2142, 1469, -1017, 81, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152355, -982, 1544, -1601, 81, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152389, -1474, 1792, -1434, 81, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152423, -538, 1963, -1354, 81, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152463, -279, 1718, -2547, 83, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152503, 1423, 3570, -2160, 83, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152544, 695, 2018, -2133, 83, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152584, 2383, 3103, -2176, 83, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152625, 3507, 2819, -2176, 83, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152665, 4647, 2996, -1730, 83, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152705, 6617, 3277, -1997, 83, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152746, 7398, 3246, -2284, 83, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152786, 6109, 2905, -1442, 83, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152827, 4262, 2051, -927, 83, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152863, 3995, 1388, -656, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152899, 4411, 2218, -986, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152935, 4487, 2109, -1135, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
152971, 3572, 1720, -907, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153007, 3055, 1497, -677, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153043, 3060, 1826, -1069, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153079, 3599, 1851, -1354, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153115, 3725, 2131, -1472, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153151, 4011, 1513, -1556, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153187, 3930, 1365, -1285, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153223, 7357, -4362, 8058, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153262, 5246, 427, -21, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153302, 3225, 1093, -1413, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153342, 4614, -620, -300, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153382, 4235, -956, -125, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153422, 4026, -480, -595, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153462, 4152, 147, -644, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153502, 4076, 499, -586, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153542, 4013, 666, -534, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153582, 4021, 783, -424, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153622, 4121, 629, -150, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
153666, 4170, 493, -232, 84, 777f1155-4989-4b2f-a51d-f3cd89e43329, , transisi, transisi_qunut_ke_berdiri, , 
