56542, -1463, 1803, -3271, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
56582, -1469, 1890, -3383, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
56622, -1455, 1854, -3288, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
56661, -1479, 1938, -3234, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
56701, -1471, 1857, -3043, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
56740, -1448, 1820, -2649, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
56780, -1423, 1377, -2067, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
56820, -1184, 1351, -1847, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
56864, -773, 1623, -1280, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
56909, -264, 1628, -1563, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
56954, 43, 2761, -1615, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
56999, 619, 2181, -1961, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57044, 1447, 3278, -1789, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57089, 2486, 2485, -1530, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57134, 4260, 2026, -1432, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57179, 5601, 2326, -1231, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57224, 7607, 3209, -1184, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57269, 8518, 3365, -1055, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57301, 5410, 2414, -1025, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57333, 3154, 1563, -680, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57365, 3730, 1931, -497, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57397, 4492, 2213, -1213, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57429, 4642, 1646, -931, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57462, 3121, 1477, -587, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57494, 2492, 1571, -791, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57526, 3262, 1526, -1162, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57558, 4147, 1222, -1338, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57590, 4316, 1393, -1480, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57623, 4193, 642, -519, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57664, 5633, -3344, 3474, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57706, 4370, -1215, -411, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57748, 3438, 316, -929, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57790, 4327, -374, -302, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57832, 4358, -524, -369, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57874, 4111, 52, -621, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
57916, 3955, 560, -676, 52, 7bdb04df-3dfe-409f-9886-b228ecd0c836, , transisi, transisi_qunut_ke_berdiri, , 
