180552, -2027, 2519, -2483, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
180590, -2013, 2488, -2411, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
180628, -1977, 2415, -2261, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
180666, -1907, 2372, -2235, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
180704, -1812, 2254, -2001, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
180742, -1667, 2096, -1706, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
180781, -1471, 2024, -1437, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
180820, -1142, 1894, -1119, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
180859, -712, 2061, -1206, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
180898, -228, 2340, -1370, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
180937, 485, 2409, -1429, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
180976, 1268, 2409, -1508, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
181015, 2492, 1994, -1368, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
181054, 4175, 1911, -1276, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
181093, 6380, 2218, -1257, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
181132, 8883, 1884, -1483, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
181171, 8306, 2333, -1689, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
181211, 4676, 1813, -856, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
181246, 3939, 1375, -291, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
181282, 4018, 1435, -988, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
181318, 4464, 1779, -1614, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
181354, 4117, 2121, -1593, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
181390, 3487, 1866, -734, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
181425, 2755, 1361, -455, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
181461, 3170, 1628, -827, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
181497, 3865, 1631, -848, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
181533, 3981, 1644, -903, 102, 8de19fad-bf1d-413f-a8b3-3139d09ec48a, , transisi, transisi_qunut_ke_berdiri, , 
