145966, -1500, 1919, -3219, 75, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146006, -1495, 1899, -3165, 75, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146047, -1510, 1861, -3002, 75, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146086, -1455, 1875, -2661, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146125, -1370, 1968, -2548, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146164, -1204, 1769, -2005, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146204, -1005, 1779, -1881, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146243, -603, 1773, -1786, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146282, -47, 2004, -1691, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146322, 669, 1737, -1891, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146361, 1501, 2496, -1789, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146400, 2334, 2546, -1847, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146440, 3243, 2268, -1741, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146476, 5031, 1925, -1014, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146513, 8297, 2435, -339, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146550, 8592, 1678, 448, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146586, 4614, 419, 47, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146623, 2867, 785, 294, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146660, 4362, 627, 131, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146697, 5811, 1579, -553, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146733, 5094, 1368, 630, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146770, 2965, 2877, -916, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
146807, 2604, 3153, -1364, 77, 963aa166-152a-4119-96e9-28f22513255e, , transisi, transisi_qunut_ke_berdiri, , 
