83147, -2780, 1225, -2686, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83189, -2774, 1285, -2710, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83231, -2764, 1167, -2655, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83274, -2707, 1159, -2551, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83310, -2680, 1067, -2371, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83347, -2449, 1299, -2572, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83384, -2275, 1105, -2537, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83420, -2436, 1447, -2430, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83457, -2252, 1038, -2222, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83494, -2027, 1052, -1978, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83530, -1476, 1265, -1740, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83567, -962, 1069, -1870, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83604, -406, 1386, -2225, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83641, 46, 1834, -2098, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83680, 663, 2188, -2275, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83720, 1817, 2350, -2698, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83760, 3935, 3458, -2881, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83799, 1710, 3825, -2962, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83839, 3710, 2267, -2050, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83879, 5821, 3171, -2208, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83919, 6706, 3454, -2606, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83958, 6566, 2662, -2169, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
83998, 4836, 3733, -1338, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
84038, 3868, 2166, -439, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
84078, 4504, 2287, -1070, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
84119, 4702, 2417, -1670, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
84160, 3644, 1837, -1247, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
84201, 3306, 1598, -743, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
84243, 3098, 1800, -696, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
84284, 3395, 1952, -1079, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
84325, 3736, 1501, -992, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
84367, 3685, 1539, -1082, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
84408, 3842, 1388, -1393, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
84449, 4187, 807, -1053, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
84491, 6587, -3118, 6063, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
84531, 5426, -355, -31, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
84571, 3054, 608, -1301, 58, 9aa80a6c-ab06-48d7-a69b-ad3d9a92d5b9, , transisi, transisi_qunut_ke_berdiri, , 
