108798, 2909, -1344, -2621, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
108834, 2941, -1380, -2615, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
108870, 3049, -1363, -2553, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
108906, 3190, -1313, -2543, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
108942, 3347, -1308, -2377, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
108978, 3122, -1619, -2390, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109014, 3272, -1514, -2318, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109054, 3393, -1276, -2370, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109094, 3227, -1244, -2318, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109134, 3231, -1375, -2309, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109174, 3228, -1388, -2206, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109215, 3263, -1271, -2205, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109255, 3342, -1278, -2058, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109295, 3319, -1297, -2129, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109335, 3128, -1400, -1894, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109375, 3273, -1103, -2068, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109416, 3449, -1315, -2013, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109452, 3595, -842, -1832, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109489, 3620, -935, -2307, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109525, 3580, -586, -2260, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109562, 4151, -681, -1799, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109598, 3891, -843, -918, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109635, 4322, -1383, -1450, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109671, 4751, -1109, -1820, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109708, 4344, -828, -1721, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109744, 4892, -478, -1505, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109781, 4300, -617, -1468, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109818, 4298, -573, -1515, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109864, 3998, -426, -971, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109911, 3843, -579, -859, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
109957, 3920, -286, -634, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110004, 3901, -334, -554, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110051, 3583, -99, -675, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110097, 3722, -136, -349, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110144, 3911, 137, -201, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110190, 4103, 134, -59, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110237, 4458, 32, -80, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110284, 4440, 467, -176, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110317, 4614, 1135, -81, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110350, 4798, 1326, 46, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110383, 5095, 1440, 443, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110416, 5283, 1346, 375, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110449, 4755, 1958, 550, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110482, 4504, 2008, 1093, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110515, 4053, 2486, 1555, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
