162325, 3344, -1050, -2231, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162364, 3354, -1012, -2207, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162403, 3388, -980, -2178, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162443, 3500, -990, -2158, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162481, 3532, -918, -2112, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162519, 3684, -729, -2106, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162558, 3704, -902, -1995, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162596, 3893, -830, -2039, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162634, 3889, -607, -1921, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162673, 3653, -541, -1623, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162711, 3889, -163, -1713, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162750, 4178, -548, -1333, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162788, 4264, -423, -1158, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162826, 4182, -656, -1735, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162865, 3409, -424, -2331, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162903, 3696, -458, -2176, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162942, 4065, 98, -1705, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
162979, 4006, 146, -1414, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163017, 4318, -25, -1588, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163054, 4364, -41, -1377, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163092, 4497, -159, -872, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163130, 5148, -38, -572, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163167, 4635, 109, -266, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163205, 4146, 393, -250, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163242, 4013, 550, -57, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
