19129, 2775, 160, -3010, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19164, 2786, 160, -3021, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19200, 2826, 165, -3032, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19236, 2876, 151, -2990, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19271, 3088, 219, -2866, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19307, 3423, 239, -2790, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19343, 3425, 204, -2770, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19381, 3596, 184, -2838, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19420, 3877, 72, -2826, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19459, 3405, 352, -2566, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19498, 3535, 348, -2477, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19537, 3508, 83, -2018, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19576, 3639, -187, -2086, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19615, 3391, -257, -2871, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
