77170, 3087, -597, -2628, 99, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77207, 3171, -768, -2631, 99, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77245, 3392, -541, -2553, 99, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77282, 3537, -528, -2428, 99, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77319, 3332, -234, -2392, 99, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77357, 3497, -164, -2645, 99, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77401, 3511, -280, -2562, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77446, 3327, -270, -2212, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77491, 3442, -409, -2332, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77536, 3614, -341, -2235, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77581, 4008, -156, -2127, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77626, 4161, -36, -1501, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77671, 3950, -399, -1935, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77716, 3248, -61, -3160, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77761, 3163, 130, -2911, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77806, 3855, 610, -1424, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77840, 4032, 95, -1560, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77874, 4381, 77, -2098, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77908, 4178, -213, -1960, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77942, 4274, -242, -1992, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
77977, 3878, -171, -1949, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78011, 4173, 290, -1275, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78045, 4771, 200, -872, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78079, 3944, 240, -452, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78113, 4044, -132, -1420, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78148, 3929, 191, -846, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78186, 3903, 493, -757, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78224, 3896, 266, -729, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78262, 3835, 395, -705, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78300, 3868, 486, -664, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78338, 3938, 532, -668, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78376, 3804, 564, -692, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78414, 3904, 535, -735, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78452, 3887, 492, -670, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78490, 3742, 547, -579, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78528, 3735, 735, -613, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78566, 3767, 838, -477, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78604, 3671, 1076, -323, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78643, 3741, 1038, -35, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78682, 3784, 1127, 45, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78721, 3714, 1296, 96, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78760, 3656, 1193, 38, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78798, 3773, 1496, -17, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78837, 3863, 1537, -58, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78876, 3894, 1808, -76, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78915, 4005, 1780, 296, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78954, 4144, 2084, 511, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
78991, 4388, 1894, 243, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79028, 4606, 1988, 959, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79065, 4260, 3164, 973, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79103, 4122, 3059, 1614, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79140, 3821, 3394, 1848, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79177, 3390, 3604, 2056, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79215, 2574, 3336, 2271, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79252, 2020, 3258, 2514, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79289, 1249, 2816, 2741, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79327, 567, 2669, 2854, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79363, 386, 2678, 2998, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79400, 11, 2336, 2787, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79437, -1030, 1382, 2332, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79473, -1244, 1388, 2449, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79510, -1808, 884, 1882, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79547, -2052, 622, 2265, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79584, -2652, 1304, 2537, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79620, -2844, 313, 1904, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79657, -3125, -108, 1214, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79694, -2959, -545, 1298, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79731, -3035, -425, 1558, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79773, -3369, 323, 2034, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79816, -3441, 433, 1996, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
