339816, 3385, 136, -2363, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
339854, 3503, 194, -2303, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
339893, 3675, -17, -2368, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
339931, 3937, 230, -1990, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
339970, 4014, 245, -1985, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340009, 4032, 129, -1934, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340047, 4207, 180, -1983, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340086, 4629, 440, -1261, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340125, 4519, 319, -953, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340163, 4379, 564, -894, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340202, 4296, 436, -951, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340241, 3835, 117, -1264, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340280, 3714, -68, -970, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340318, 4151, -459, 103, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340357, 4218, -431, -1367, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340396, 6231, -893, -2877, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340435, 5201, -1048, -2625, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340475, 4766, -1202, -2161, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340516, 4247, -1663, -2125, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340556, 4353, -1636, -2599, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340597, 3945, -620, -3283, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340637, 4159, -352, -2753, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340678, 4142, -451, -2228, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340718, 3993, 15, -1448, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340759, 3840, 559, -804, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340799, 4170, 514, -392, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340840, 4216, 626, -129, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340885, 4076, 56, 488, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340930, 3876, -1048, 908, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
340975, 3836, -1178, 1376, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341020, 4038, -944, 1052, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341065, 4392, -1409, 1044, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341110, 5075, -1290, 521, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341155, 6168, -1270, 290, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341200, 7362, -1247, -104, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341245, 8713, 1028, -596, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341290, 11503, 1297, 450, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341320, 12523, 1305, -7, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
