288014, 3478, -719, -2024, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288050, 3821, -527, -1846, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288086, 4060, -542, -1687, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288121, 3989, -524, -1648, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288157, 4091, -274, -1648, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288193, 3947, -451, -1688, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288228, 3731, -403, -1793, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288264, 3711, -24, -1639, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288300, 3978, -179, -1150, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288335, 4213, -86, -1243, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288371, 3829, 274, -1356, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288407, 3586, -93, -1624, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288443, 3769, 115, -1543, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288480, 4209, -514, -1167, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288518, 3764, -301, -749, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288556, 3923, 1079, -1192, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288594, 5014, 81, -1366, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288632, 5955, 523, -2647, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288670, 5607, -337, -1603, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288707, 4695, -751, -845, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288745, 4923, -387, -852, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288783, 4301, -123, -585, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288821, 3832, 674, -534, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288859, 3908, 636, -60, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288897, 3692, 362, -362, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288935, 3367, 840, -87, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
288971, 3400, 682, 521, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289008, 3546, 823, 403, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289044, 3477, 1290, 858, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289081, 3903, 1495, 648, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289117, 4378, 2121, 33, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289154, 4777, 2261, -195, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289190, 4264, 3381, -487, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289227, 4207, 3664, -43, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289263, 3356, 3969, 500, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289300, 2783, 4326, 745, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289336, 2156, 4039, -5, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289373, 1750, 4866, -452, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289410, 1177, 4635, 32, 85, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289449, 478, 4220, 507, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289489, -338, 3961, 626, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289528, -1071, 3128, 992, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289568, -1379, 2407, 900, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289608, -1940, 1905, 1072, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289647, -1972, 992, 1282, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289687, -2673, 737, 776, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289726, -2872, -249, 1009, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289766, -2978, -601, 967, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289806, -3159, -1162, 1002, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289845, -3133, -1573, 919, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289885, -3101, -1905, 811, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289925, -2955, -2290, 645, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
289964, -2609, -2275, 564, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290004, -2473, -2692, 493, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290044, -2044, -2805, 339, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290084, -1480, -2696, 249, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290124, -1103, -2592, 250, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290164, -959, -1992, 226, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290204, -706, -1410, 235, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290244, -174, -312, 129, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290284, 304, 784, 653, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290324, 923, 3236, 1035, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290364, 523, 4818, 1973, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290404, 1492, 6209, 2562, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290444, 1929, 6013, -151, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
