400776, 2988, -1252, -2573, 79, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
400814, 3000, -1200, -2552, 79, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
400852, 3062, -1131, -2571, 79, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
400890, 2994, -1234, -2533, 79, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
400928, 2948, -1284, -2630, 79, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
400966, 3021, -1216, -2604, 79, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401004, 3053, -1134, -2556, 79, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401042, 3101, -1286, -2708, 79, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401080, 3206, -1284, -2562, 79, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401118, 3247, -1050, -2464, 79, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401156, 3296, -1149, -2771, 79, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401194, 3411, -1036, -2569, 79, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401233, 3529, -1182, -2671, 79, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401271, 3753, -1016, -2638, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401310, 3723, -664, -2631, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401348, 3922, -344, -2243, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401387, 3799, -174, -2248, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401425, 3997, -357, -2628, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401464, 4093, -234, -2428, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401502, 3971, -88, -2517, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401541, 3605, -99, -2663, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401579, 3623, -148, -2305, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401618, 3328, -86, -1789, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401660, 3477, -236, -1808, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
