59397, 3518, -1105, -1939, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
59430, 3610, -1063, -1946, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
59462, 3767, -1021, -1776, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
59495, 3877, -986, -1658, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
59528, 3875, -1131, -1590, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
59561, 3901, -1093, -1719, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
59594, 4034, -906, -1650, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
59627, 4108, -892, -1500, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
59668, 4188, -1024, -1058, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
59710, 3956, -393, -933, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
59752, 3850, -353, -1214, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
59794, 4073, -744, -1915, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
59836, 4107, -1031, -2012, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
59878, 4218, 179, -65, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
59920, 4976, -912, -926, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
59962, 4787, -1120, -2730, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60004, 5190, -100, -1633, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60046, 4466, 876, -816, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60080, 4062, -5, -798, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60114, 3397, -67, -288, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60149, 3633, 158, -256, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60183, 3600, 441, -178, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60217, 3766, 539, -15, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60252, 3622, 489, 134, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60286, 3699, 754, -64, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60320, 3787, 618, 18, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60355, 3715, 720, 256, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60389, 3815, 764, 361, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60424, 3735, 807, 626, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60465, 4024, 900, 746, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60507, 4340, 1234, 698, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60549, 4333, 1941, 462, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60591, 4364, 2524, 770, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
