194831, 3148, 990, -2474, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
194868, 3298, 1020, -2427, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
194905, 3409, 954, -2366, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
194947, 3439, 1004, -2355, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
194989, 3414, 949, -2380, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195031, 3573, 972, -2218, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195073, 3659, 980, -2052, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195115, 3572, 1133, -2085, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195157, 3554, 1170, -2014, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195199, 3739, 990, -1869, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195241, 4033, 645, -1421, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195283, 3913, 686, -1273, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195325, 3754, 641, -1444, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195359, 3572, 1113, -2537, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195394, 3791, 1169, -2176, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195429, 3919, 1189, -1875, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195464, 4512, 1370, -2234, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195499, 4698, 1711, -3326, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195533, 5605, 110, -2356, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195568, 4325, 1145, -1525, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195603, 4165, 196, -963, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195638, 3650, -379, -224, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195673, 3503, -226, -253, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195708, 3671, 168, -429, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195749, 3830, 643, -216, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195790, 3752, 717, -116, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195832, 3743, 518, -211, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195873, 3679, 708, -534, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195915, 3561, 738, -389, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195956, 3799, 254, -190, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
195997, 3787, 278, -216, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196039, 3878, 989, -226, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196080, 3614, 846, 40, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196122, 3733, 605, 76, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196160, 3540, 1173, -45, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196198, 3900, 906, 43, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196236, 3742, 1030, 281, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196274, 3992, 982, 518, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196312, 3772, 601, 257, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196350, 3710, 1070, 282, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196388, 3817, 1458, 374, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196426, 3755, 1531, 424, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196464, 3690, 1918, 464, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196503, 3741, 1980, 656, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196541, 3800, 2087, 773, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196579, 4034, 2184, 1406, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196617, 4104, 2871, 1777, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196655, 4320, 3203, 2435, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196693, 4098, 3018, 2257, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196732, 4024, 3670, 2341, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196770, 3582, 3399, 2484, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196808, 2940, 3716, 2593, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196846, 2465, 3502, 2414, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196884, 1633, 3307, 2329, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196923, 1010, 3277, 2298, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
196967, 380, 3327, 2234, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
197011, -594, 2651, 2151, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
197055, -1133, 2387, 2056, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
197099, -1838, 1564, 1994, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
197143, -2173, 1516, 1811, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
197187, -2800, 692, 1299, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
197231, -2968, 468, 1458, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
197275, -3198, -130, 969, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
197319, -3264, -508, 866, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
197364, -3251, -719, 766, 88, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
197404, -3273, -1314, 395, 86, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
197444, -3365, -1402, 402, 86, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
