112321, 3374, -413, -2459, 73, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
112359, 3554, -290, -2269, 73, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
112398, 3764, -387, -2105, 73, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
112438, 4040, -449, -2005, 73, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
112478, 3978, -55, -2097, 73, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
112519, 3866, -33, -2184, 73, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
112559, 3843, -63, -1980, 73, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
112600, 4069, -9, -1786, 73, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
112640, 4009, 35, -1487, 73, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
112680, 3896, -48, -1961, 73, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
112721, 3740, -77, -1535, 73, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
112761, 3965, 499, -1140, 73, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
112802, 4208, 865, -1260, 73, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
112838, 4622, -599, -3288, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
112874, 4774, -316, -2336, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
112910, 5020, 1235, -1655, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
