109870, 3360, -1136, -2507, 93, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
109908, 3526, -885, -2769, 93, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
109945, 3524, -1621, -2632, 93, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
109983, 3462, -1082, -2541, 93, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110021, 3403, -840, -2804, 93, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110060, 3285, -1007, -2797, 93, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110098, 3328, -700, -2763, 93, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110137, 3257, -430, -2729, 93, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110176, 3522, -954, -2915, 93, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110214, 3499, -712, -1814, 93, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110253, 3296, -345, -2364, 93, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110292, 3645, -965, -2767, 93, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110330, 2997, -834, -2491, 93, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110369, 3291, -269, -2628, 93, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110408, 3132, -130, -2422, 93, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110448, 3135, 92, -2255, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110489, 3211, 43, -2138, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110529, 3278, 135, -2114, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110570, 3396, 653, -2105, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110611, 3654, 1036, -1738, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110651, 3938, 1318, -1545, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110692, 3774, 1862, -1400, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110732, 4101, 2390, -1400, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110773, 4130, 2618, -1296, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110814, 4217, 2817, -1086, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110853, 3984, 3163, -936, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110893, 3807, 3075, -514, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110933, 3163, 3498, -160, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
110972, 2670, 3694, 222, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111012, 2120, 3705, 825, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111052, 1480, 3852, 893, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111091, 1194, 3512, 1190, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111131, 410, 3266, 1380, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111171, 84, 3245, 1274, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111211, -424, 3039, 1575, 94, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111245, -1208, 2819, 1635, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111280, -1212, 2568, 1884, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111314, -2262, 2846, 1714, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111349, -2254, 2534, 1788, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111384, -2180, 1581, 1664, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111418, -2684, 1333, 1868, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111453, -2780, 1003, 1595, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111488, -2898, 797, 2034, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111522, -3146, 552, 1672, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111557, -3114, 433, 1802, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111592, -3465, 537, 1887, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111632, -3460, 310, 1628, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111673, -3046, -645, 751, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111714, -3324, -1177, 824, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111754, -3225, -748, 933, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111795, -3289, -189, 1336, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111836, -2994, -999, 812, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111876, -2434, -527, 1027, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111917, -1866, -400, 1516, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111958, -1048, 639, 1118, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
111999, -321, 1037, 2006, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112038, -274, 3431, 1926, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112078, 19, 2659, 1582, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112117, 1745, 3942, 1812, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112157, 1270, 3902, 534, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112196, 3348, 3271, 739, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112236, 4528, 6315, -241, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112275, 4129, 4722, -1120, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112315, 4652, 4674, -955, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112354, 4354, 4602, -785, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112394, 4310, 3741, -1131, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112434, 3486, 4404, -602, 95, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112473, 3803, 4177, -755, 96, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112512, 3119, 2863, -1014, 96, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112551, 3167, 2673, -1423, 96, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112591, 2896, 2218, -1570, 96, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112630, 3200, 2031, -1806, 96, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112669, 3213, 1700, -1787, 96, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112709, 3285, 1643, -1741, 96, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112748, 3389, 1591, -1659, 96, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
112787, 3601, 1466, -1522, 96, 725985c1-3e78-4f48-86ec-a1d661bbb806, , transisi, transisi_ruku_ke_iktidal, , 
