99463, 3250, 635, -2265, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
99502, 3283, 1042, -2162, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
99542, 3265, 616, -2103, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
99581, 3409, 804, -1973, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
99620, 3637, 664, -2198, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
99660, 3653, 957, -1915, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
99699, 3977, 944, -1776, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
99738, 4470, 924, -1282, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
99778, 4483, 893, -1443, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
99817, 3433, 1112, -1764, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
99857, 3250, 2409, -1198, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
99894, 3457, 1479, -1005, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
99932, 3785, 1901, -1340, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
99970, 3679, 1370, -2147, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100008, 2949, 1252, -332, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100046, 4195, 2711, -1149, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100083, 4590, 2380, -3172, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100121, 5842, 1619, -2403, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100159, 5546, -349, -1649, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100197, 4736, 337, -2007, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100235, 4627, -480, -490, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100274, 3836, 259, -1275, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100313, 3800, 510, 210, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100353, 3311, 536, 1251, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100392, 3453, -77, 1476, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100431, 3274, 32, 1350, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100471, 3760, 395, 1356, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100510, 3973, 779, 1256, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100549, 3650, 1425, 1401, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100589, 4326, 3127, 1348, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100628, 4535, 4408, 937, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
100668, 4477, 4285, 1397, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
