142474, 3315, -181, -2454, 92, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
142515, 3335, -201, -2368, 92, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
142555, 3757, -166, -2233, 92, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
142596, 3956, -52, -2015, 92, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
142637, 4256, -181, -2040, 92, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
142677, 4251, -552, -1835, 92, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
142718, 4454, -371, -1455, 92, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
142758, 4499, -18, -1301, 92, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
142799, 4534, -394, -1086, 92, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
142840, 4349, -164, -1132, 92, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
142880, 3994, -121, -1094, 93, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
142920, 3616, 42, -1107, 93, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
142960, 3947, 7, 601, 93, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143000, 4141, -442, -807, 93, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143041, 5518, -420, -506, 93, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143081, 6515, -441, 144, 93, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143121, 6214, -715, -754, 93, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143161, 6107, -123, -826, 93, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143201, 5630, 26, -248, 93, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143242, 5400, 282, 505, 93, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143280, 5579, 959, 510, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143318, 5217, 627, 1116, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143356, 5084, 1517, 1130, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143394, 4709, 1359, 1373, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143432, 3435, 793, 2102, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143470, 2381, 1058, 2329, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143508, 1782, 947, 2146, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143546, 570, 887, 2259, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143584, -349, 891, 2027, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143622, -1021, 473, 1866, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143660, -1920, -214, 1783, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143697, -2483, -508, 1827, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143735, -2807, -577, 1907, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143773, -2826, -945, 1592, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143811, -2876, -1324, 1144, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143849, -3123, -1509, 1082, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143886, -3117, -1798, 988, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143924, -3014, -2070, 567, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
143962, -3107, -2137, 321, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144000, -2899, -2286, 285, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144038, -2746, -2483, 268, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144075, -2595, -2250, 212, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144112, -2402, -2248, 55, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144149, -2237, -2156, 123, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144186, -2252, -2011, -57, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144223, -2001, -1822, -657, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144260, -1662, -1520, -1086, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144297, -1472, -1196, -1076, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144334, -1218, -1103, -749, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144371, -712, -996, -545, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144408, 714, -451, 909, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144446, 2898, 796, 2396, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144485, 4592, 1973, 1423, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144524, 8014, 1424, 1346, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144563, 9420, 1916, 253, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144602, 10449, 1949, -304, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144640, 11169, 1953, 436, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144679, 8280, 2729, 208, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144718, 6383, 1314, 213, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144757, 5362, 600, 197, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144796, 4954, 60, 497, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144835, 4644, 638, 435, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144874, 4430, 893, 101, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144913, 4216, 937, -18, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144952, 3981, 928, -175, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
144991, 4006, 959, -337, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
145030, 4268, 698, -376, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
145069, 4016, -905, -1885, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
145108, 4137, -2609, -1193, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
145147, 3937, -1450, -1726, 95, 770a2f18-1adc-4edc-8390-d4678ca3cca6, , transisi, transisi_ruku_ke_iktidal, , 
