49234, 3138, -1223, -2356, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49269, 3101, -1210, -2352, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49305, 3202, -1273, -2338, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49341, 3207, -1257, -2324, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49377, 3236, -1222, -2391, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49413, 3141, -1287, -2407, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49449, 3226, -1341, -2399, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49485, 3222, -1275, -2377, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49521, 3191, -1326, -2387, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49557, 3306, -1425, -2399, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49593, 3493, -1252, -2522, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49632, 3416, -1243, -2533, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49671, 3530, -1225, -2663, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49710, 3762, -863, -2775, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49749, 3534, -924, -2802, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49788, 3800, -1170, -2600, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49827, 3802, 33, -2023, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49866, 3726, -447, -2248, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49905, 3326, 62, -1980, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49944, 3917, -10, -1809, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
49984, 3718, 212, -1998, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
50021, 3905, 586, -2246, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
50058, 4030, 597, -2029, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
50095, 3990, 754, -1745, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
50132, 4064, 1126, -1583, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
50169, 3702, 1534, -1646, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
