275183, 3511, -129, -2196, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275224, 3753, -151, -2094, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275263, 3922, -92, -1974, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275303, 4282, 80, -1942, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275342, 4055, -275, -1773, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275382, 3887, -263, -1833, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275422, 4359, -61, -1707, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275461, 4487, -40, -1064, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275501, 4406, 377, -1150, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275540, 4212, 56, -1016, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275580, 4213, -148, -1281, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275620, 3758, 289, -1650, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275655, 3975, 482, -680, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275690, 4081, -572, -214, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275725, 4063, -647, -1802, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275760, 4885, -771, -2143, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275795, 4927, -791, -1684, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275830, 4537, -345, -1772, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275865, 4532, -734, -1761, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275900, 4060, -1082, -1836, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275935, 4048, -1212, -1564, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
275970, 3938, -814, -2045, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276005, 3833, -181, -2507, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276046, 4059, -226, -1964, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276088, 4015, -29, -1822, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276130, 3915, 70, -904, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276172, 4053, 553, -412, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276214, 4423, -225, -253, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276256, 4473, -1039, 944, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276298, 3682, -917, 614, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276340, 4059, -1317, 819, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276382, 3936, -1600, 800, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276424, 4242, -1697, 658, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276463, 4622, -2108, 709, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276502, 5451, -1451, 381, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276541, 6669, -1419, 570, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276581, 8295, -870, 333, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276620, 8913, -885, 483, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276659, 10475, -198, -275, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276699, 10897, 704, 221, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276738, 10540, 826, 550, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276777, 7448, 880, 369, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276817, 5325, 564, 656, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276856, 3610, 157, 252, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276895, 1772, -11, 431, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276935, 188, -511, 573, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
276974, -1164, -523, 697, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277013, -2247, -1093, 521, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277053, -2791, -1052, 618, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277092, -3217, -1435, 620, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277131, -3422, -1478, 349, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277171, -3585, -1784, 426, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277210, -3343, -1721, 188, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
