217814, 3969, 668, -1420, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
217854, 4103, 690, -1494, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
217894, 4062, 634, -1407, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
217934, 4325, 685, -1239, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
217974, 4394, 698, -1175, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218016, 4468, 645, -956, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218059, 4563, 553, -960, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218102, 4574, 638, -1367, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218145, 4613, 532, -1498, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218188, 4463, 480, -1809, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218231, 4239, 198, -1317, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218274, 4188, 439, -1081, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218317, 4152, 174, -787, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218360, 3888, 265, -941, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218403, 4001, 164, -869, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218436, 3905, 283, -925, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218470, 3852, 250, -833, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218504, 3743, 486, -701, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218538, 3695, 465, -332, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218572, 3704, 904, -233, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218605, 3624, 1133, -31, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218639, 3546, 1264, 189, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218673, 3457, 1443, 391, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218707, 3577, 1626, 411, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218741, 3545, 1529, 441, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218775, 3841, 2637, 613, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218814, 4172, 2868, 992, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218853, 4455, 3218, 1276, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218893, 4477, 3829, 1754, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218932, 4512, 4242, 2098, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
218972, 4085, 4579, 2005, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219011, 3564, 4347, 2408, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219050, 2719, 3746, 2495, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219090, 1880, 3858, 2426, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219129, 770, 3104, 2296, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219169, -21, 2144, 1823, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
