118902, 3387, -1103, -2196, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
118938, 3542, -1019, -2088, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
118973, 3623, -994, -2030, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119009, 3760, -1060, -1981, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119045, 3746, -975, -2085, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119081, 3669, -1016, -2067, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119116, 3550, -849, -1971, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119152, 3498, -872, -1886, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119188, 3632, -781, -1836, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119224, 3631, -727, -1531, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119264, 3766, -778, -1673, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119304, 3876, -788, -1355, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119345, 3770, -827, -1704, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119385, 4050, -1135, -1932, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119426, 3812, -1037, -1705, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119466, 3784, -659, -1156, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119506, 4021, -723, -894, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119547, 4134, -839, -787, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119587, 4295, -442, -1162, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119628, 4423, -194, -1367, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119665, 4531, -216, -923, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119703, 4710, -150, -481, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119741, 4737, -682, -339, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119778, 4562, -470, -62, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119816, 4100, -298, -83, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119854, 4056, -339, -48, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119892, 4071, -117, 31, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119929, 4162, 43, 102, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
119967, 4122, 300, 24, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120005, 4160, 323, 38, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120043, 4048, 469, 21, 66, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120083, 4127, 574, 115, 69, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120124, 4156, 318, 418, 69, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120164, 3967, 671, 181, 69, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120205, 4053, 1580, -23, 69, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120245, 4225, 2147, -248, 69, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120286, 4638, 2384, -197, 69, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120326, 4374, 2859, -209, 69, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120367, 3746, 3551, 241, 69, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120407, 3069, 4067, 208, 69, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120448, 2201, 4513, 484, 69, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120487, 1960, 4797, 873, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120527, 1616, 5100, 488, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120567, 1549, 5273, 722, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120607, 1016, 4687, 732, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120647, 519, 4496, 775, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120687, -402, 3422, 875, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120727, -1376, 2702, 952, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120767, -1897, 1579, 868, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120807, -2091, 681, 909, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120847, -1720, -538, 774, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120884, -1159, -1534, 618, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120921, -695, -1544, 440, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120959, -644, -4654, -222, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
120996, -893, -4101, -111, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121033, -742, -3416, 362, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121071, -638, -2508, 6, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121108, -362, -1604, 15, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121145, -10, -851, -21, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121183, 362, 58, 55, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121220, 876, 3024, 827, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121258, 1083, 4941, 1177, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121296, 2404, 4744, 1842, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121335, 3127, 7682, 2170, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121373, 4026, 5092, 1771, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121412, 5349, 5033, 1386, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121450, 6328, 4241, 848, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121489, 6157, 3519, 1006, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121527, 6191, 2146, 637, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121566, 4837, 4068, -490, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121604, 4189, 2420, -982, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121643, 3717, 2606, -853, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121679, 3529, 1680, -395, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121716, 3400, 1508, -232, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121752, 3554, 1717, -433, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121789, 3716, 2049, -591, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121826, 4081, 2090, 68, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121862, 4290, 12, 1001, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121899, 4306, 504, 484, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121936, 4373, 268, 251, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
121972, 4202, 128, 243, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
122009, 4205, 18, 237, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
122046, 4137, 290, 71, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
122085, 4181, 119, 363, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
122124, 4060, 159, 598, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
122164, 3975, 310, 653, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
122203, 4014, 547, 580, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
122243, 4084, 777, 464, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
122282, 4059, 968, 517, 70, 855eb50e-612c-4643-8d1e-499f40aac3ec, , transisi, transisi_ruku_ke_iktidal, , 
