127215, 4068, 381, -1807, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127252, 4220, 481, -1810, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127289, 4315, 389, -1663, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127326, 4211, 161, -1403, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127363, 4592, 304, -1284, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127405, 4576, 950, -811, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127447, 4543, 1055, -828, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127489, 4164, 619, -1164, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127531, 3899, 400, -1455, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127573, 3687, 155, -1275, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127615, 4232, 18, 219, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127657, 4415, -1052, 22, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127699, 4191, -1077, -1601, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127741, 5952, -1108, -2130, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127783, 4697, -927, -2309, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127822, 4637, -955, -2334, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127861, 4506, -1868, -2893, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127900, 4662, -564, -3287, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127940, 4505, 32, -2912, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
127979, 4724, -190, -2321, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128018, 4512, 96, -1347, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128058, 4260, 649, -811, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128097, 3961, 931, 88, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128136, 4433, 950, 534, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128176, 4484, 754, 1596, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128213, 2891, 442, 1310, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128251, 3504, 10, 1731, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128289, 3678, -572, 1991, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128327, 4392, -7, 1934, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128365, 5022, -192, 1467, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128402, 6037, -236, 1128, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128440, 7170, 104, 547, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128478, 7842, 894, 192, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128516, 9012, 2314, 264, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128554, 10359, 2705, -523, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128592, 11057, 2768, -1247, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128629, 11000, 3981, -274, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128667, 9992, 3669, 777, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128704, 7074, 2592, 333, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128742, 4363, 1342, 432, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128779, 2519, -997, -381, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128817, 858, -1199, -340, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128854, -235, -2013, -542, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128892, -748, -2110, -995, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128929, -1368, -2558, -1340, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
128967, -1894, -3047, -1014, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129003, -1765, -2681, -875, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
