349292, 3504, 916, -2317, 82, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349327, 3525, 747, -2353, 82, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349363, 3749, 810, -2364, 82, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349399, 3723, 825, -2285, 82, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349435, 3522, 1069, -2289, 82, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349471, 3602, 936, -2163, 82, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349506, 3730, 606, -1863, 82, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349542, 3762, 495, -1724, 82, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349578, 3675, 292, -1978, 82, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349614, 3207, 816, -2712, 82, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349650, 3568, 1181, -2085, 82, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349686, 4307, 1440, -1861, 82, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349732, 4363, 1363, -2593, 81, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349778, 4711, 823, -1739, 81, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349825, 4880, 686, -1382, 81, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349871, 4387, 131, -1417, 81, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
349918, 4021, 223, -1287, 81, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
