238932, 3266, -1317, -2157, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
238972, 3158, -1594, -2309, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239013, 3178, -1723, -2430, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239053, 3284, -1436, -2408, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239093, 3175, -1558, -2394, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239133, 3471, -1390, -2761, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239173, 3218, -1127, -2729, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239214, 3273, -893, -2843, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239247, 3300, -661, -2930, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239281, 3327, -1408, -3155, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239315, 3050, -601, -3243, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239348, 3062, -983, -2804, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239382, 2965, -828, -2812, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239416, 2825, -645, -2786, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239450, 2810, -570, -2688, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239483, 2845, -376, -2940, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239517, 2678, -378, -3107, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239551, 2845, -543, -2444, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239585, 2847, 318, -2479, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239625, 3129, -143, -2283, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239666, 3367, -25, -1907, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239707, 3333, 205, -1877, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239748, 3385, 349, -1936, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239789, 3565, 477, -1974, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239829, 3591, 909, -2166, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239870, 3810, 1050, -2168, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239911, 4210, 1089, -1680, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239952, 4128, 1396, -2159, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
239993, 4154, 2139, -2214, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
240036, 4026, 3034, -2050, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
