85304, 3313, 1196, -2145, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85345, 3284, 1236, -1921, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85385, 3631, 1446, -1833, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85425, 4081, 1438, -1639, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85466, 4060, 1270, -1730, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85503, 3831, 1472, -1704, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85540, 3840, 1400, -1320, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85578, 3999, 1149, -1052, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85615, 4023, 1011, -895, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85653, 3942, 643, -1900, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85690, 3459, 1585, -1530, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85728, 3885, 2529, -1718, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85765, 4298, 2141, -2062, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85803, 4694, 1544, -1711, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85840, 4482, 822, -1004, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85878, 4563, 1226, -1739, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
85916, 4143, 378, -1183, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
