90519, 3315, -972, -2261, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
90564, 3431, -899, -2199, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
90610, 3706, -774, -2108, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
90655, 3873, -810, -1998, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
90700, 4065, -847, -1711, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
90746, 4181, -680, -1671, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
90791, 3930, -462, -1909, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
90836, 3998, -208, -1867, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
90882, 4138, 314, -1533, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
90927, 4149, -253, -1088, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
90973, 3926, -406, -1276, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91002, 3415, -81, -1980, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91032, 4128, -92, -1757, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91061, 3981, -214, -1391, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91091, 4382, -71, -1514, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91120, 5971, 782, -1055, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91150, 5864, 105, -273, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91179, 5613, 433, -386, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91209, 3730, 1096, -40, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91238, 4184, 719, 340, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91268, 4098, 1453, 288, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91308, 4376, 1809, 265, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91349, 4115, 2227, 403, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91389, 4056, 2345, 584, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91430, 3891, 3010, 490, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91470, 3843, 3035, 687, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91511, 3496, 3446, 638, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91551, 3063, 3741, 809, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91592, 2286, 3557, 920, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91632, 1315, 3537, 1124, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91673, 175, 2830, 1041, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91710, -547, 2872, 1156, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91747, -1575, 2350, 1110, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91785, -2291, 1930, 1088, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91822, -2767, 1746, 1483, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91859, -2860, 1639, 1139, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91897, -3027, 1570, 1248, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91934, -3342, 819, 1302, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
91971, -3646, 186, 1103, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92009, -3620, -17, 1149, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92046, -3983, -507, 1054, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92084, -3702, -754, 1060, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92123, -3364, -892, 882, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92163, -2734, -1808, 477, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92203, -1758, -2409, 165, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92243, -1272, -2713, -130, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92283, -862, -3290, 22, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92323, -610, -3294, 75, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92363, -370, -2561, 98, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92403, -50, -1716, 253, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92443, 394, -470, 153, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92483, 1137, 412, 545, 75, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92520, 1918, 3040, 218, 76, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92557, 3557, 5279, 1496, 76, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92594, 4068, 5785, 1156, 76, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92632, 6038, 4127, 990, 76, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92669, 9111, 4419, 9, 76, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92706, 9652, 3512, -1042, 76, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92743, 10006, 4000, -1020, 76, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92781, 5736, 3712, -1148, 76, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92818, 3861, 1757, -218, 76, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92855, 2288, 846, -697, 76, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92893, 6506, 4169, -1147, 76, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92933, 2593, 1579, -599, 76, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
92974, 3475, 2242, -969, 76, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
93015, 3288, 1803, -1403, 76, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
93056, 3962, 1321, -1449, 76, c0cda5e6-3389-45de-a929-5ae1763c3c49, , transisi, transisi_ruku_ke_iktidal, , 
