43304, 3275, 220, -2502, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43340, 3397, 262, -2405, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43376, 3367, 310, -2416, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43413, 3651, 430, -2321, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43449, 3829, 382, -2202, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43485, 3932, 223, -2078, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43522, 4121, 386, -2101, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43558, 3649, 649, -2132, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43594, 3649, 788, -1950, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43631, 4074, 529, -1580, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43667, 4468, 127, -1248, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43704, 4570, -337, -1713, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43743, 3967, 861, -3028, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43783, 4431, 112, -2942, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43823, 4577, 631, -1229, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43863, 4762, -1032, -759, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43903, 4500, 137, -2146, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43942, 4619, -831, -1844, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
43982, 4067, -165, -1521, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44022, 4103, 433, -216, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44062, 3904, 160, 325, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44102, 3965, 259, 187, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44138, 3468, 426, 68, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44174, 3318, 881, 225, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44210, 3605, 622, 396, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44246, 3965, 1055, 404, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44282, 4230, 1706, 415, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44319, 4368, 2295, 745, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44355, 3929, 2938, 686, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44391, 3852, 3001, 919, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44427, 3482, 3766, 1040, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44463, 3110, 3850, 1454, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44500, 2163, 3904, 1541, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44543, 1694, 4636, 1162, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44587, 473, 4030, 1313, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44630, 175, 4447, 1499, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44674, -177, 3840, 1327, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44717, -990, 3385, 1457, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44761, -1638, 2891, 1284, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44804, -2289, 2042, 1435, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44848, -2415, 1291, 1162, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
