51627, 3792, -826, -1619, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
51675, 3804, -883, -1477, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
51723, 4032, -751, -1262, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
51771, 4710, -839, -588, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
51799, 4729, -1185, -181, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
51828, 4026, -1367, -471, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
51857, 3772, -1052, -1310, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
51886, 4589, -396, -807, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
51915, 5431, -630, -1224, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
51943, 5381, -563, -947, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
51972, 5142, -289, -456, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52001, 4893, -202, 241, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52030, 4355, -137, 330, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52059, 4282, -114, 902, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52088, 4179, 453, 253, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52130, 4395, 1654, -23, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52172, 4633, 2396, -24, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52214, 5016, 2645, 747, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52256, 4419, 3470, 1082, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52298, 3564, 3767, 1143, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52340, 3369, 4657, 1499, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52382, 2034, 3229, 1432, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52424, 765, 1721, 938, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52466, -728, 186, 248, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52509, -1217, -278, 1, 49, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52546, -1523, -531, -22, 46, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52584, -1404, -394, -45, 46, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52622, -876, -267, 13, 46, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52659, -22, -112, 30, 46, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52697, 1383, 476, 198, 46, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52735, 2979, 1177, 163, 46, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
52772, 4554, 1367, 4, 46, e02fcde0-f274-4548-afd8-3d16f8285094, , transisi, transisi_ruku_ke_iktidal, , 
