135935, 3524, -974, -2078, 73, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
135969, 3712, -856, -2056, 73, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136014, 3957, -855, -1863, 73, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136059, 3991, -677, -1525, 73, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136104, 3656, -732, -1713, 73, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136149, 3668, -909, -1739, 73, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136194, 3652, -448, -1904, 73, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136239, 3524, -428, -1878, 73, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136284, 3940, -504, -2247, 73, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136329, 4127, -576, -855, 73, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136374, 4082, -132, -1020, 73, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136419, 4008, 28, -1132, 73, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136453, 3782, -46, -1426, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136488, 3776, -226, -1502, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136522, 3870, -396, -720, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136557, 4282, 322, -560, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136592, 4526, 234, -1361, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136626, 5929, -1228, -2549, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136661, 5370, -153, -1678, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136695, 4427, 898, -1394, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136730, 4317, 544, -738, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136765, 3930, 778, -125, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136801, 3715, 1103, -80, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136838, 3832, 1309, 348, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136875, 3652, 1194, 266, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136911, 3439, 1598, -159, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136948, 3971, 1320, 156, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
136985, 3783, 1398, 98, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137022, 3886, 1505, 63, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137058, 3783, 1708, -96, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137095, 3792, 2289, -242, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137132, 3793, 2422, 160, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137169, 4070, 2098, 548, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137209, 4249, 2536, 133, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137250, 3461, 3368, -5, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137290, 3197, 4068, 132, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137331, 2718, 4197, 267, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137371, 2131, 4359, 397, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137412, 1228, 4279, 397, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137452, 428, 4545, 197, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137493, -327, 3404, 555, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137533, -1052, 2844, 891, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137574, -1588, 2469, 831, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
