106985, 3496, -1488, -1606, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107022, 3528, -1521, -1571, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107060, 3532, -1512, -1514, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107097, 3488, -1475, -1587, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107135, 3537, -1467, -1564, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107172, 3597, -1429, -1507, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107210, 3577, -1443, -1537, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107248, 3581, -1596, -1540, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107285, 3511, -1410, -1564, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107322, 3522, -1331, -1661, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107360, 3677, -1375, -1603, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107397, 3667, -1261, -1517, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107435, 3678, -1351, -1473, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107472, 3657, -1457, -1556, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107509, 3668, -1295, -1571, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107547, 3840, -1300, -1924, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107584, 3851, -1544, -1604, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
107622, 4115, -1047, -2170, 92, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
