213382, 3295, -1439, -2131, 94, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
213422, 3701, -1294, -2002, 94, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
213462, 3710, -1269, -1893, 94, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
213502, 3526, -1321, -1962, 94, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
213542, 3674, -1327, -1846, 94, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
213582, 3555, -1405, -1939, 94, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
213621, 3472, -1300, -1818, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
213660, 3497, -1074, -1884, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
213699, 3409, -1132, -1779, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
213739, 3604, -1151, -1764, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
213778, 3733, -959, -1711, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
213817, 4002, -981, -1412, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
213856, 3940, -727, -1445, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
213896, 4022, -801, -1479, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
213935, 3780, -663, -1096, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
213974, 3760, -602, -1012, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214014, 3580, -437, -1067, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214050, 3971, -187, -550, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214086, 4491, 288, -496, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214122, 4135, -1247, -1977, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214158, 5002, -963, -2735, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214194, 5157, 899, -2050, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214230, 5233, -489, -1217, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214266, 4449, -270, -499, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214302, 3997, 317, 203, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214338, 4004, 564, 343, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214375, 4202, 434, 401, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
