74191, 3745, -846, -1823, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74230, 3873, -807, -1763, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74270, 3981, -868, -1529, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74309, 3879, -980, -1552, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74349, 3972, -912, -1522, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74389, 3946, -806, -1646, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74427, 3711, -646, -1687, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74466, 3809, -682, -1442, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74505, 3682, -605, -1423, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74543, 3768, -518, -1336, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74582, 3840, -586, -1059, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74621, 3724, -417, -1274, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74659, 4672, -1009, -1655, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74698, 4077, -358, -1358, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74737, 4069, 346, -927, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74776, 3324, 136, -424, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74813, 4353, 126, -2040, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74851, 4511, -703, -2907, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74889, 4378, -299, -1673, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74927, 4589, -103, -611, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
74965, 4666, 401, -175, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75002, 4504, 712, 244, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75040, 4291, 951, 306, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75078, 4106, 484, 123, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75116, 3861, 464, -85, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75154, 4015, 552, -159, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75190, 3977, 1022, -114, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75226, 4080, 1114, -179, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75262, 4194, 1222, -210, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75299, 4186, 1229, -112, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75335, 4017, 1308, 50, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75371, 3961, 1427, 105, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75407, 3942, 1540, 73, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75444, 3995, 1782, 65, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75480, 3914, 2201, -14, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75516, 4244, 2226, 315, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75553, 4383, 2744, 156, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75593, 4364, 2969, 366, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75633, 4298, 3486, 261, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75673, 3767, 3139, 548, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75713, 2832, 3395, 410, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75753, 1813, 3380, 1011, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75793, 753, 3170, 1235, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75833, -268, 2812, 1130, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75873, -1329, 3042, 1564, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75913, -1948, 2437, 1538, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75954, -2592, 2740, 1916, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
75995, -2852, 1771, 1612, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76037, -3206, 1735, 1725, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76078, -3307, 975, 1203, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76120, -3769, 1069, 1235, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76161, -3684, 916, 1071, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76203, -3747, -283, 1091, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76244, -4067, -440, 813, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76286, -3826, -906, 678, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76327, -3424, -1001, 543, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76369, -2658, -1298, 322, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76403, -2100, -1578, 150, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76438, -1618, -2075, -129, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76473, -1437, -2157, -224, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76508, -1230, -2343, -108, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76543, -1196, -2112, -172, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76577, -1076, -1758, -41, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76612, -939, -1380, -15, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
