42613, 3183, 1072, -2317, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
42650, 3304, 1610, -2102, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
42688, 3226, 1438, -2034, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
42727, 3158, 1861, -2080, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
42766, 3490, 1758, -1845, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
42805, 3897, 1567, -1704, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
42844, 3580, 1483, -1555, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
42883, 3567, 2047, -1340, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
42922, 3766, 1953, -1058, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
42961, 3783, 1494, -788, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43000, 4309, 1409, -379, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43039, 3733, 1570, -1721, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43076, 4136, 2453, -2447, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43113, 3332, 2216, -1752, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43150, 4255, 3197, -1891, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43187, 5661, 1529, -971, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43224, 5658, 1044, -2535, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43262, 5146, 388, -1572, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43299, 4411, -840, 604, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43336, 3969, 204, 1195, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43373, 3729, 94, 794, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43410, 3642, 498, 570, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43448, 3544, 286, 723, 63, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43490, 3779, 1370, 964, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43532, 3716, 1395, 1019, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43574, 3972, 1501, 1302, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43616, 3951, 1683, 851, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43658, 3184, 2958, 882, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43700, 3082, 3085, 2104, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43742, 2861, 3116, 2570, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43784, 2542, 3914, 2257, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43826, 2287, 3605, 2455, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43868, 1686, 3786, 2679, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43905, 1195, 3477, 2800, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43942, 655, 3325, 2578, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
43979, -135, 2663, 2433, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44016, -1196, 2455, 2329, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44053, -2076, 1992, 2029, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44090, -3310, 1294, 1675, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44127, -2902, 707, 2284, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44164, -2817, 199, 1310, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44201, -2401, -554, 855, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44239, -1922, -1191, 518, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44276, -1291, -2226, -222, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44313, -925, -2878, -886, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44350, -815, -3177, -1116, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44388, -690, -3111, -953, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44425, -405, -2888, -989, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44462, -121, -2016, -691, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44499, 487, -1094, -311, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44537, 1133, -201, 279, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44574, 1810, 1471, 588, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44611, 3061, 6462, 4145, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44649, 2267, 3803, 2537, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44689, 4188, 4645, 2253, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44729, 6503, 2965, 1515, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44769, 9768, 3221, 1516, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44809, 12716, 3196, 4310, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44849, 9292, 5581, -4586, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44889, 2907, 1076, -515, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44929, 3979, 2175, -651, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
44969, 4290, 3403, -1349, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
45009, 4674, 1632, 78, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
45049, 3015, 1176, 240, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
45084, 2645, 1932, -458, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
45119, 3184, 2216, -1122, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
45155, 4068, 2452, -667, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
45190, 4523, 974, -57, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
45226, 4435, 1234, 131, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
45261, 4293, 3504, -484, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
45297, 5882, -4562, 3569, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
45332, 3890, -380, 832, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
45368, 4245, 21, 96, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
45403, 4184, 29, -346, 64, fa236f3f-3042-4a27-a52b-8644b23f1f92, , transisi, transisi_ruku_ke_iktidal, , 
