236595, 3488, -401, -2209, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
236634, 3487, -412, -2165, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
236672, 3564, -411, -2132, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
236711, 3600, -462, -2039, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
236750, 3723, -468, -2008, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
236787, 3883, -481, -1975, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
236824, 3841, -512, -1639, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
236861, 3771, -411, -1914, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
236898, 3702, -315, -1845, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
236935, 3770, -316, -1668, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
236972, 3991, -363, -1597, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237009, 4021, -254, -1566, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237046, 4112, -227, -1202, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237083, 4012, -288, -1093, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237120, 3966, -422, -956, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237165, 4156, -534, -1090, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237210, 4516, -567, -985, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237255, 4467, -480, -606, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237300, 4622, -789, -608, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237345, 5260, -1418, -1448, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237390, 5582, -429, -2058, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237435, 4665, -63, -1425, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237480, 4186, -162, -914, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237525, 4126, -284, -602, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237570, 4351, 255, -377, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237603, 4240, 746, -466, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237636, 4287, 1126, -388, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237669, 4160, 1436, -163, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237702, 3772, 2216, 114, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237735, 3601, 2424, 547, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237768, 3265, 3105, 977, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237801, 3253, 3612, 1409, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237834, 3366, 3837, 1956, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237867, 3140, 4224, 2141, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237900, 3039, 4646, 2480, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237934, 2767, 3957, 2473, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
237975, 2371, 2988, 2578, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238017, 1513, 2449, 2039, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238058, 297, 1231, 1702, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238100, -451, 1338, 1732, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238141, -873, 653, 1541, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238183, -1333, 223, 1131, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238224, -1970, -596, 919, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238266, -2311, -1492, 518, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238307, -2865, -2207, -311, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238349, -2425, -1732, -17, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238383, -1659, -1525, -190, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238417, -532, -1098, -66, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238451, 799, -364, -16, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238486, 2755, 1014, 382, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238520, 4975, 1590, -306, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238554, 6352, 197, -1314, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238588, 9739, -204, -1076, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238623, 12193, 404, -1116, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238657, 11456, 1961, -1134, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238691, 8294, 3145, -3346, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238726, 6157, 2144, -1240, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238765, 5969, 1542, -1588, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238804, 5354, 2360, -2073, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238843, 4035, 3591, -2004, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238882, 3703, 2658, -593, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238921, 3672, 2835, -428, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238960, 4039, 2796, 81, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
238999, 4622, 1680, 112, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239038, 4899, 1518, -381, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239077, 3681, 385, -712, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239117, 4969, 610, -908, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239161, 1345, -10096, -13158, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239205, 1535, -2156, -7461, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239250, 5555, -1006, 545, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239294, 4543, 2348, -660, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239339, 3983, 1876, -1279, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239383, 3702, 978, -1112, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239427, 3572, 1207, -323, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239472, 3803, 1141, -149, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239516, 3986, 1043, -165, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239561, 4095, 633, -742, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239593, 4085, 669, -1331, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239626, 3960, 898, -1453, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239659, 3765, 1069, -1308, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239692, 3882, 1123, -971, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
239725, 4003, 964, -671, 98, fa75f2e4-7373-4166-b65b-8131b4bc4650, , transisi, transisi_ruku_ke_iktidal, , 
