94539, 2873, 1725, 2783, 95, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
94578, 2837, 1474, 2595, 95, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
94615, 2638, 1351, 2620, 95, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
94652, 2675, 1671, 2943, 95, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
94690, 2628, 1477, 3015, 95, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
94727, 2448, 1510, 2880, 95, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
94764, 2486, 1436, 2961, 95, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
94802, 2326, 1698, 3082, 95, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
94839, 2273, 1520, 3158, 95, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
94876, 2101, 1539, 3265, 95, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
94914, 2121, 1522, 3240, 95, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
94951, 2110, 1475, 3311, 95, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
94989, 2116, 1523, 3268, 95, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95029, 2150, 1513, 3206, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95069, 2310, 1318, 3188, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95109, 2215, 1530, 3231, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95149, 2213, 1434, 3262, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95189, 2368, 1385, 3310, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95229, 2674, 1218, 3334, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95269, 3135, 1844, 6747, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95309, 3286, 1545, 3740, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95349, 3050, 146, 3394, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95389, 4478, 961, 3747, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95424, 4561, 1203, 1906, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95460, 4997, 961, 824, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
95495, 4587, 855, 232, 93, 27003f2d-bfb8-4f1a-ac52-83375f5becc5, , transisi, transisi_sujud_ke_bersedekap, , 
