270204, 3145, 1038, 2512, 88, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270247, 3145, 1011, 2504, 88, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270290, 3221, 1037, 2415, 88, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270333, 3197, 968, 2437, 88, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270367, 3235, 1048, 2423, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270402, 3334, 1055, 2327, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270437, 3283, 1059, 2300, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270472, 3260, 1178, 2200, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270507, 3377, 533, 1770, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270542, 2930, 1183, 2822, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270577, 2904, 1981, 2746, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270612, 2972, 1475, 2587, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270647, 3113, 1206, 2441, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270682, 2762, 1597, 2650, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270717, 3012, 1272, 2715, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270759, 2959, 1180, 2652, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270801, 2932, 1228, 2637, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270843, 2957, 1224, 2721, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270885, 2905, 1196, 2721, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270927, 2998, 1183, 2687, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
270969, 2914, 1161, 2627, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
271011, 2951, 1193, 2712, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
271053, 2879, 1196, 2745, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
271095, 2990, 1147, 2749, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
271138, 3029, 1156, 2827, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
271173, 3488, 1304, 2571, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
271208, 4006, 1246, 3174, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
271243, 5145, -113, 3842, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
271279, 4604, 1429, 2806, 86, 2eca91c2-cbb6-40f1-8db3-944e6cc39b54, , transisi, transisi_sujud_ke_bersedekap, , 
