229452, 3630, 1580, 1552, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
229490, 3520, 1494, 1457, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
229528, 3506, 1581, 1691, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
229566, 3434, 1706, 1772, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
229604, 3336, 1621, 1817, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
229642, 3221, 1611, 1959, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
229680, 3195, 1684, 2040, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
229718, 3168, 1615, 2153, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
229751, 2899, 1623, 2466, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
229785, 2884, 1784, 2537, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
229818, 2695, 1725, 2559, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
229852, 2675, 1726, 2571, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
229886, 2669, 1869, 2614, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
229919, 2576, 1838, 2632, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
229953, 2539, 1931, 2682, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
229987, 2503, 1852, 2715, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
230020, 2455, 1996, 2773, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
230054, 2331, 2014, 2765, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
230088, 2425, 1951, 2740, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
230128, 2387, 1905, 2827, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
230169, 2431, 1827, 2825, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
230209, 2331, 1980, 2934, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
230250, 2300, 1977, 2871, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
