62813, 3549, 1829, 884, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
62854, 3572, 1866, 916, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
62894, 3621, 1806, 1041, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
62935, 3459, 1935, 1078, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
62972, 3461, 1855, 1170, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63009, 3428, 1966, 1318, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63046, 3272, 1957, 1467, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63084, 3298, 1939, 1564, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63121, 3159, 2048, 1762, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63158, 3212, 1938, 1884, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63196, 2883, 2298, 1952, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63233, 2910, 2170, 2078, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63270, 2772, 2290, 2111, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63308, 2802, 2191, 2143, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63347, 2742, 2328, 2247, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63386, 2683, 2243, 2243, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63425, 2650, 2171, 2325, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63464, 2799, 2165, 2280, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63503, 2725, 2319, 2533, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63542, 3052, 2208, 2780, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63581, 3341, 2220, 2945, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63620, 4145, 1558, 3891, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63659, 3314, 914, 2448, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63699, 5356, 2585, 939, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63740, 6062, 1573, 2438, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63782, 4789, 879, 2049, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63823, 4723, 1073, 1060, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63865, 2855, -409, 716, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63906, 2572, 252, 384, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63948, 2256, 296, -94, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
63989, 2324, 854, 169, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64031, -444, 6783, 4236, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64072, 3216, 3981, 4654, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64114, 1205, 1050, 1704, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64156, 835, 1702, 2991, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64189, 561, 2779, 3450, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64222, 497, 2164, 3704, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64255, 641, 2170, 3813, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64288, 695, 2057, 4142, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64321, 712, 2278, 3693, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64354, 1676, 2606, 2756, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64387, 1935, 2214, 3062, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64420, 1797, 1878, 3285, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64453, 1454, 2161, 3537, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64486, 1025, 2165, 3396, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64529, 1126, 2235, 3630, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64572, 917, 1990, 3664, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64616, 832, 1850, 3628, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64659, 573, 1848, 3445, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64703, 591, 2053, 3178, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64746, 1291, 1932, 2010, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64789, 721, -366, 768, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64833, 3660, 2028, 1101, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64876, 4098, 462, 1556, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64920, 5425, 1311, 501, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64954, 5406, 1200, 449, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
64989, 5839, 380, -2678, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65024, 4498, -1992, 1452, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65058, 7557, 1848, 4754, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65093, 2630, -416, 1165, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65128, 4099, 3338, 528, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65163, 4410, -400, 952, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65197, 4092, 538, 215, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65232, 4202, 275, 327, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65267, 4124, 503, 138, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65302, 4118, 435, 3, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65345, 4082, 572, -60, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65389, 4126, 495, -146, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65432, 4131, 470, -204, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65476, 4092, 461, -280, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65520, 4117, 485, -321, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65563, 4086, 537, -344, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65607, 4092, 608, -376, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65650, 4108, 562, -314, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65694, 4184, 416, -207, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65738, 4122, 425, -266, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65774, 4163, 224, -188, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65811, 4159, 383, -166, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65848, 4203, 335, 12, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65885, 4290, 490, 23, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
65922, 4531, 632, 130, 72, 61a0200d-45c6-4866-8aa3-46683bb6d5b0, , transisi, transisi_sujud_ke_bersedekap, , 
