238164, 2867, 1436, 2604, 79, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238202, 2848, 1370, 2581, 79, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238240, 2775, 1510, 2518, 79, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238278, 2784, 1615, 2643, 79, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238317, 2743, 1706, 2637, 79, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238355, 2622, 1936, 2407, 79, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238393, 2425, 1740, 2877, 79, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238431, 2557, 1783, 2818, 79, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238469, 2651, 1661, 2756, 79, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238508, 2613, 1762, 2718, 79, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238550, 2654, 1752, 2673, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238592, 2659, 1634, 2767, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238634, 2729, 1519, 2837, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238676, 2682, 1472, 2877, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238718, 2660, 1419, 2779, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238760, 2681, 1514, 2812, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238802, 2658, 1393, 2762, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
238844, 2758, 1398, 2818, 78, 76839e5e-9fbc-4994-9f9e-4d0e6f9943d6, , transisi, transisi_sujud_ke_bersedekap, , 
