212507, 2837, 975, 2872, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
212540, 2788, 966, 2940, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
212572, 2818, 847, 2883, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
212605, 2856, 977, 2909, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
212638, 2826, 1079, 2887, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
212670, 2840, 923, 2880, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
212703, 2736, 979, 2942, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
212735, 2758, 980, 2920, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
212768, 2789, 937, 2866, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
212801, 2634, 958, 3022, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
212838, 2705, 1118, 2968, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
212875, 2954, 845, 2933, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
212912, 2841, 834, 2991, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
212949, 2785, 830, 3013, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
212986, 2756, 836, 2955, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213023, 2734, 811, 2928, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213060, 2735, 894, 2958, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213097, 2694, 968, 3034, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213134, 2845, 874, 2891, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213171, 2814, 849, 2970, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213209, 2958, 848, 2900, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213249, 2870, 1075, 2805, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213290, 2909, 1134, 2850, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213331, 3026, 975, 2776, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213372, 3006, 1078, 2564, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213413, 3266, 894, 2695, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
213453, 3406, 1077, 2630, 105, 7ada7580-610f-43ab-b3fb-c2fc25485d3c, , transisi, transisi_sujud_ke_bersedekap, , 
