80271, 2195, 1489, 3219, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80308, 2157, 1346, 3272, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80346, 2106, 1430, 3260, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80384, 2027, 1509, 3391, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80421, 1902, 1602, 3384, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80459, 1782, 1747, 3381, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80497, 1778, 1535, 3426, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80535, 1835, 1612, 3352, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80573, 1896, 1490, 3393, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80611, 1884, 1556, 3368, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80649, 1889, 1497, 3366, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80687, 1969, 1560, 3338, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80725, 1918, 1535, 3359, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80763, 1993, 1480, 3349, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80801, 1935, 1551, 3325, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80839, 1897, 1395, 3411, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80877, 1895, 1445, 3344, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80915, 1961, 1355, 3382, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80954, 2069, 1396, 3327, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
80990, 2042, 1333, 3369, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81026, 2102, 1348, 3357, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81062, 2131, 1227, 3326, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81098, 2199, 1381, 3343, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81135, 2304, 1283, 3379, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81171, 2637, 1318, 3288, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81207, 2957, 1373, 3356, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81243, 3013, 1086, 3531, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81279, 3435, 578, 4148, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81316, 4517, 853, 2836, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81351, 4174, 723, 947, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81386, 4054, 401, 1282, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81421, 3698, 265, 1373, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81456, 3667, 179, 1003, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81491, 3775, 841, 583, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81527, 3471, 1290, 156, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81562, 3404, 635, 159, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81597, 5506, -94, -236, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81632, 1549, 8231, 7889, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81667, 4271, 415, 3243, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81703, 2796, 1466, -127, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81743, 3028, 1422, 1521, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81784, 3509, 1177, 2846, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81824, 3289, 2160, 1637, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81865, 3139, 1631, 1378, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81905, 2832, 511, 1944, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81946, 3322, 257, 1822, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
81986, 3254, 489, 2163, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82027, 3855, 1105, 3644, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82067, 4807, 644, 5006, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82108, 4741, 2446, 4334, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82152, 4405, 3891, 3397, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82196, 4926, 6473, 2582, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82241, 3439, 6057, 3342, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82285, 1964, 4392, 2178, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82330, 536, 1770, 888, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82374, -1406, 907, 501, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82418, -678, -123, 382, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82463, -2407, -1754, 783, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82507, -2184, -1044, 721, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82552, -2058, -375, 776, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82584, -2562, -271, 860, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82616, -2478, 218, 1078, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82648, -2744, -110, 1211, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82680, -2952, -943, 1511, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82712, -3353, 452, 1198, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82744, -3698, 1276, 141, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
82776, -3871, 1279, 302, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
