94641, 2652, 2758, 1701, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
94680, 2650, 2478, 1707, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
94719, 2565, 2578, 1788, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
94758, 2449, 2767, 2052, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
94795, 2253, 2946, 1899, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
94832, 2389, 2805, 2036, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
94870, 2169, 2749, 2105, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
94907, 2169, 2740, 2282, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
94945, 2012, 2834, 2249, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
94982, 1946, 2680, 2460, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95020, 1950, 2657, 2560, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95057, 1712, 2661, 2604, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95095, 1730, 2622, 2693, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95132, 1577, 2650, 2797, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95170, 1489, 2627, 2901, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95208, 1412, 2593, 2942, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95246, 1452, 2452, 3038, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95285, 1444, 2552, 3085, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95323, 1428, 2714, 3168, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95362, 1457, 2876, 3165, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95400, 1903, 2053, 3153, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95438, 2441, 2270, 3242, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95477, 3554, 3048, 3194, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95515, 4619, 2003, 2215, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95554, 5668, 1130, 2313, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95590, 5089, 726, 2559, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95626, 4313, 767, 1874, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95662, 3445, 519, 919, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95698, 3291, 38, 1066, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95734, 2565, 4, 765, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95771, 1915, 39, 918, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95807, 2422, 3334, 4834, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95843, 1865, 2574, 3488, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95879, 1253, 759, 2524, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95915, 1172, 1995, 3404, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95952, 976, 2934, 2858, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
95993, 1202, 1768, 3429, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96035, 697, 2028, 3015, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96076, 469, 2065, 3670, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96118, 3, 2201, 3906, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96160, -300, 2451, 4839, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96201, 383, 2718, 3852, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96243, 1086, 2135, 3559, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96284, 1498, 1950, 3871, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96326, 1217, 1961, 3779, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96368, 1165, 2289, 3318, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96406, 842, 1234, 3437, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96445, 956, 1611, 3086, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96484, 985, 1748, 3304, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96523, 998, 1492, 3200, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96562, 1275, 2209, 1964, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96600, 26, -574, -246, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96639, 3147, 2653, 1253, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96678, 4011, 1998, 2311, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96717, 5608, 1528, 3093, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96756, 4482, 1038, 3431, 67, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96793, 5152, 171, 2811, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96831, 5019, 135, 887, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96869, 5090, 501, 236, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96907, 4863, 773, 395, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96945, 4668, 1328, 726, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
96983, 4112, 573, 1221, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97021, 3983, 1065, 863, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97059, 4040, 843, 771, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97097, 4087, 929, 560, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97135, 4077, 822, 385, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97173, 4112, 806, 297, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97210, 4108, 785, 168, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97248, 4061, 861, 87, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97286, 4075, 943, 26, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97323, 4042, 1005, -99, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97361, 4082, 895, -163, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97399, 4047, 879, -275, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
97436, 3992, 979, -269, 68, a67ef61c-15c8-4546-9a2c-f4f9d12f75bd, , transisi, transisi_sujud_ke_bersedekap, , 
