184538, 2958, 2074, 1629, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
184577, 3290, 1954, 1854, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
184615, 2902, 2321, 1898, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
184654, 3050, 2122, 1942, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
184691, 2862, 2319, 2025, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
184729, 2940, 2044, 2020, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
184766, 2751, 2296, 2179, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
184804, 2955, 2023, 2112, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
184842, 2709, 2137, 2336, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
184879, 2919, 1862, 2259, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
184917, 2744, 2039, 2369, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
184955, 2875, 1915, 2205, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
184992, 2873, 1946, 2322, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185030, 2910, 1718, 2321, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185068, 2989, 1932, 2231, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185109, 2963, 1776, 2263, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185151, 3063, 1894, 2277, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185193, 3248, 1628, 2365, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185234, 3699, 1664, 2844, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185276, 5255, 1983, 3886, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185318, 5593, -425, 4976, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185359, 1641, 568, -1112, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185401, 5395, 1958, 57, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185443, 5059, 1698, 706, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185485, 4452, 905, 893, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185518, 3984, 527, 993, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185551, 3869, 423, 700, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185585, 3491, 891, 263, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185618, 3775, 1560, 914, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185652, 3584, 1357, 1323, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185685, 3572, 807, 2043, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185719, 2876, 975, 1719, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185752, 2468, 1523, 2162, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
185786, 1978, 1672, 2329, 103, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
