93225, 2691, 2937, 1112, 96, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93262, 2741, 2856, 1127, 96, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93299, 2770, 2777, 1075, 96, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93335, 2791, 2862, 1204, 96, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93372, 2762, 2869, 1271, 96, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93409, 2756, 2840, 1276, 96, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93446, 2658, 2815, 1432, 96, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93483, 2548, 2843, 1529, 96, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93520, 2520, 2805, 1679, 96, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93559, 2373, 2730, 1874, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93599, 2442, 2613, 2074, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93639, 2171, 2689, 2291, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93678, 2069, 2582, 2486, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93718, 1857, 2777, 2420, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93758, 2025, 2723, 2413, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93797, 1942, 2686, 2467, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93837, 1801, 2759, 2551, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93877, 1767, 2619, 2665, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93917, 1781, 2560, 2756, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93953, 1617, 2442, 2928, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
93989, 1570, 2453, 3024, 97, dae7e73a-0791-49fd-9b17-c2734ded01cd, , transisi, transisi_sujud_ke_bersedekap, , 
