61678, 2829, 1807, 2468, 79, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
61725, 2864, 1786, 2455, 79, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
61771, 2774, 1687, 2553, 79, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
61818, 2846, 1701, 2511, 79, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
61864, 2764, 1752, 2515, 79, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
61910, 2785, 1579, 2567, 79, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
61957, 2696, 1741, 2609, 79, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62003, 2807, 1640, 2591, 79, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62050, 2820, 1536, 2676, 79, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62087, 2738, 1615, 2638, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62125, 2788, 1593, 2606, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62163, 2730, 1453, 2783, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62200, 2803, 1571, 2726, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62238, 2750, 1504, 2713, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62276, 2732, 1449, 2784, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62313, 2751, 1490, 2720, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62351, 2752, 1528, 2757, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62389, 2698, 1657, 2702, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62427, 2828, 1490, 2717, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62465, 2728, 1506, 2764, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62503, 2826, 1532, 2647, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62542, 2854, 1455, 2640, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62580, 2802, 1754, 2514, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62618, 3081, 1349, 2600, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62657, 3187, 1671, 2319, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62695, 3163, 1074, 2780, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62733, 3452, 1064, 2269, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62772, 3384, 1628, 2783, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62810, 3358, 1339, 2539, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62849, 3593, 1037, 1871, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62885, 4064, 1735, 3117, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62921, 3657, 1820, 954, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62958, 3455, 2409, 1138, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
62994, 3587, 1080, 896, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63031, 3347, 1198, 1746, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63067, 3790, 1616, 1455, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63103, 4333, 54, 2025, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63140, 2426, 421, 2865, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63176, 2455, 1441, 2963, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63213, 2415, 979, 2921, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63249, 2325, -333, 3220, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63285, 2551, -921, 3259, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63321, 2496, -135, 3450, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63357, 3772, -201, 1375, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63393, 2259, 2763, 1713, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63430, 3985, 1979, 1579, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63466, 4458, 2920, 1991, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63502, 2446, 2269, 2247, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63538, 3539, 1969, 2300, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63574, 2581, 2241, 1485, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63611, 1613, 4333, 2579, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63648, 2720, 1281, 2447, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63685, 2262, 500, 3317, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63723, 2263, 1386, 3356, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63760, 1782, 813, 3328, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63798, 2010, 1421, 3254, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63835, 1466, 1758, 3379, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63872, 1344, 2140, 3428, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63910, 1269, 2003, 3026, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63947, 964, 1910, 3081, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
63985, 568, 1825, 3739, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
64029, 198, 1719, 3926, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
64074, -547, 1711, 3986, 80, 041eb1a4-c34c-4e1d-b16a-76bc2624eb6e, , transisi, transisi_sujud_ke_duduk, , 
