178399, 3034, 2093, 1874, 101, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
178438, 3061, 1920, 1903, 101, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
178477, 3023, 2116, 2008, 101, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
178515, 2919, 2109, 2059, 101, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
178554, 2880, 2049, 2046, 101, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
178592, 2785, 2095, 2205, 101, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
178631, 2604, 2213, 2405, 101, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
178670, 2253, 2289, 2608, 101, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
178709, 2187, 2152, 2751, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
178749, 1960, 2273, 2871, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
178789, 1867, 2126, 3097, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
178829, 1682, 2272, 3145, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
178869, 1657, 2039, 3253, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
178909, 1721, 2096, 3195, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
178949, 1775, 2060, 3191, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
178989, 1756, 1983, 3254, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179029, 1781, 1935, 3226, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179069, 1830, 1967, 3361, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179109, 2041, 1971, 3564, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179143, 2432, 1962, 2993, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179178, 2842, 1374, 3238, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179212, 3461, 1580, 3120, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179247, 4980, 1625, 2065, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179282, 5917, 628, 2420, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179316, 5481, 834, 2012, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179351, 4483, 427, 1789, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179385, 3638, -242, 629, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179420, 2894, -376, 1177, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179455, 2810, -294, 1038, 102, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179495, 2502, 591, 611, 103, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179536, 947, 9416, 4356, 103, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179577, 71, -5153, 2454, 103, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179618, 263, 2936, 3886, 103, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179659, 755, 2004, 4317, 103, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179699, 853, 2690, 3112, 103, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179740, 1513, 1883, 2976, 103, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179781, 1873, 2006, 2998, 103, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179822, 2154, 2117, 3167, 103, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179863, 2181, 1860, 2987, 103, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179904, 2144, 1650, 3000, 103, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
179942, 2193, 1616, 3059, 103, 0509684d-328a-41e5-918a-d2ba4900bc99, , transisi, transisi_sujud_ke_duduk, , 
